iter,total,prior_raw,prior_scaled,contact_raw,contact_scaled,dynamics_raw,dynamics_scaled,penetration_raw,penetration_scaled,smooth_raw,smooth_scaled,human_prior_raw,human_prior_scaled,human_smooth_raw,human_smooth_scaled,human_mask_2d_raw,human_mask_2d_scaled,object_mask_2d_raw,object_mask_2d_scaled,object_part_mask_2d_raw,object_part_mask_2d_scaled,object_scale_reg_raw,object_scale_reg_scaled,time_contact_s,time_dynamics_s,time_penetration_s,time_mask2d_s,time_backward_s,time_total_iter_s
0,2.1003639698028564,0.0,0.0,0.00864413846284151,1.728827714920044,0.0005063187563791871,0.07594781368970871,0.0,0.0,0.02422282285988331,0.2906738817691803,0.0,0.0,0.0,0.0,2.3447802959708497e-05,0.0009379121474921703,1.5599032849422656e-05,0.0009359419927932322,2.533746010158211e-05,0.003040495328605175,0.0,0.0,0.03545299172401428,0.0009845979511737823,0.15868954360485077,0.08155633509159088,1.4500769712030888,2.6918323300778866
25,0.7119278311729431,0.00017366478277835995,0.003473295597359538,0.0018567293882369995,0.3713458776473999,0.00019903310749214143,0.029854966327548027,2.984071397804655e-05,0.0005968142650090158,0.02222662977874279,0.2667195498943329,0.00023769789549987763,0.023769790306687355,4.19523857999593e-05,0.00125857163220644,3.8252466765698045e-05,0.0015300987288355827,5.7009739975910634e-05,0.0034205843694508076,7.629657920915633e-05,0.009155589155852795,2.6756999432109296e-05,0.0008027099538594484,0.002840828150510788,0.0015092045068740845,0.13646144047379494,0.02347530424594879,1.295265343040228,2.2404079474508762
50,0.44491448998451233,0.00034313989453949034,0.006862797774374485,0.000603064545430243,0.12061291188001633,7.954483589855954e-05,0.011931725777685642,5.377895649871789e-05,0.001075579086318612,0.0203830786049366,0.2445969432592392,0.0003962439077440649,0.03962438926100731,5.596551636699587e-05,0.0016789655201137066,4.871401688433252e-05,0.0019485607044771314,6.934502016520128e-05,0.004160701297223568,9.206937102135271e-05,0.011048324406147003,4.578513471642509e-05,0.001373553997837007,0.002783574163913727,0.0016637444496154785,0.12720951810479164,0.022656038403511047,1.303491584956646,2.216900609433651
75,0.37281280755996704,0.00047683724551461637,0.00953674502670765,0.00034664050326682627,0.06932809948921204,4.192693086224608e-05,0.006289039738476276,6.581893103430048e-05,0.001316378591582179,0.019031427800655365,0.22837713360786438,0.0004162730765528977,0.04162730649113655,5.198777580517344e-05,0.001559633295983076,4.967386485077441e-05,0.0019869545940309763,5.279511242406443e-05,0.003167706774547696,7.024480873951688e-05,0.00842937733978033,3.981315967394039e-05,0.0011943947756662965,0.0029694698750972748,0.0015472657978534698,0.13963346555829048,0.02340354397892952,1.290401890873909,2.2278009578585625
100,0.34310296177864075,0.0006208036793395877,0.012416074052453041,0.0002741657954175025,0.05483315885066986,3.1211908208206296e-05,0.004681786056607962,7.174100755946711e-05,0.0014348201220855117,0.017931703478097916,0.215180441737175,0.00040561400237493217,0.04056140035390854,4.682240978581831e-05,0.001404672279022634,4.829749741475098e-05,0.0019318999256938696,4.3277763325022534e-05,0.002596665872260928,5.7928773458115757e-05,0.006951452698558569,3.701925015775487e-05,0.0011105774901807308,0.002888839691877365,0.001544259488582611,0.133979894220829,0.023524906486272812,1.293325737118721,2.237057626247406
125,0.3255307674407959,0.0007708923076279461,0.015417845919728279,0.0002479968243278563,0.04959936439990997,2.6635214453563094e-05,0.003995282109826803,8.315937157021835e-05,0.0016631874023005366,0.017038458958268166,0.20446151494979858,0.000379810604499653,0.0379810594022274,4.2512485379120335e-05,0.0012753745540976524,4.612168777384795e-05,0.0018448674818500876,3.663413008325733e-05,0.0021980477031320333,4.978063952876255e-05,0.005973676685243845,3.735312930075452e-05,0.0011205938644707203,0.002012435346841812,0.0014129318296909332,0.13096655905246735,0.028162572532892227,1.2962865009903908,2.2251730747520924
150,0.313652902841568,0.0009230471914634109,0.018460944294929504,0.00023697094002272934,0.04739418625831604,2.3869886717875488e-05,0.0035804829094558954,9.210960706695914e-05,0.0018421921413391829,0.016336707398295403,0.19604048132896423,0.0003504560445435345,0.03504560515284538,3.7897436413913965e-05,0.001136923092417419,4.3757718231063336e-05,0.0017503087874501944,3.233671304769814e-05,0.0019402027828618884,4.4349544623401016e-05,0.005321945529431105,3.798781835939735e-05,0.00113963452167809,0.0029111430048942566,0.001514330506324768,0.22560396790504456,0.023405369371175766,1.2923057340085506,2.3493303321301937
175,0.3045986294746399,0.001072665210813284,0.02145330421626568,0.00023108182358555496,0.046216364949941635,2.1984918930684216e-05,0.0032977377995848656,0.0001041990690282546,0.0020839814096689224,0.015731392428278923,0.18877670168876648,0.0003217722405679524,0.03217722475528717,3.577651659725234e-05,0.001073295483365655,4.153242480242625e-05,0.001661296933889389,2.949803092633374e-05,0.0017698818119242787,4.116366835660301e-05,0.004939640406519175,3.8305894122458994e-05,0.0011491768527776003,0.0028262250125408173,0.0015519559383392334,0.13351739197969437,0.023487374186515808,1.2866652384400368,2.1998079866170883
200,0.29724451899528503,0.0012164238141849637,0.024328475818037987,0.000225883413804695,0.045176681131124496,2.1025041860411875e-05,0.003153756260871887,0.00010374205885455012,0.0020748411770910025,0.015234611928462982,0.1828153431415558,0.00029588682809844613,0.02958868257701397,3.276554343756288e-05,0.000982966274023056,3.9687049138592556e-05,0.0015874819364398718,2.7926364055019803e-05,0.001675581792369485,3.9225116779562086e-05,0.004707014188170433,3.8457350456155837e-05,0.0011537205427885056,0.0028504319489002228,0.00151728093624115,0.1345989815890789,0.023025795817375183,1.2890743613243103,2.2257407903671265
225,0.29159441590309143,0.0013476295862346888,0.0269525907933712,0.00022397676366381347,0.04479535296559334,2.047045563813299e-05,0.0030705684330314398,0.00011103212455054745,0.0022206425201147795,0.014797866344451904,0.17757439613342285,0.00027207372477278113,0.027207372710108757,3.122526686638594e-05,0.0009367580059915781,3.805524465860799e-05,0.0015222097281366587,2.6670473744161427e-05,0.0016002284828573465,3.7732628697995096e-05,0.004527915269136429,3.9545924664707854e-05,0.0011863777181133628,0.0028500035405158997,0.001550864428281784,0.1372331865131855,0.02285444363951683,1.3100984245538712,2.246208656579256
