iter,total,mask_weight,mask_raw,mask_scaled,front_weight,front_raw,front_scaled,root_trans_gvhmr_weight,root_trans_gvhmr_raw,root_trans_gvhmr_scaled,root_orient_gvhmr_weight,root_orient_gvhmr_raw,root_orient_gvhmr_scaled,pose_gvhmr_weight,pose_gvhmr_raw,pose_gvhmr_scaled,betas_gvhmr_weight,betas_gvhmr_raw,betas_gvhmr_scaled,scale_prior_weight,scale_prior_raw,scale_prior_scaled,intersect_weight,intersect_raw,intersect_scaled,scene_intersect_weight,scene_intersect_raw,scene_intersect_scaled,nocontact_weight,nocontact_raw,nocontact_scaled,floor_nocontact_weight,floor_nocontact_raw,floor_nocontact_scaled,angle_weight,angle_raw,angle_scaled,self_intersect_weight,self_intersect_raw,self_intersect_scaled
1,24.052433013916016,1.0,1.871126914920751e-05,1.871126914920751e-05,0.0,0.0012758178636431694,0.0,20.0,0.0,0.0,20.0,3.0791341698588326e-16,6.158268339717665e-15,10.0,0.0,0.0,10.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3780863881111145,0.0,500.0,0.04585282877087593,22.926414385437965,200.0,0.005630000494420528,1.1260000988841057,0.0,0.07617417722940445,0.0,0.0,0.0,0.0
2,22.66044044494629,1.0,1.757445716066286e-05,1.757445716066286e-05,0.0,0.0008855972555465996,0.0,20.0,1.0000139809562825e-06,2.000027961912565e-05,20.0,1.4747470231668558e-06,2.9494940463337116e-05,10.0,9.99992494143953e-07,9.99992494143953e-06,10.0,9.999947678807075e-07,9.999947678807075e-06,25.0,9.99999883788405e-07,2.4999997094710125e-05,0.007503751875937969,0.0,0.0,0.010005002501250625,0.37605029344558716,0.0037623841265191312,500.0,0.043147310614585876,21.57365530729294,200.0,0.00541436392813921,1.082872785627842,0.0005002501250625312,0.07613714039325714,3.8087614003630386e-05,0.0,0.0,0.0
3,21.31718635559082,1.0,1.6604912161710672e-05,1.6604912161710672e-05,0.0,0.0012003855081275105,0.0,20.0,4.000294666184345e-06,8.00058933236869e-05,20.0,5.897454229852883e-06,0.00011794908459705766,10.0,3.995630322606303e-06,3.995630322606303e-05,10.0,4.000472927145893e-06,4.000472927145893e-05,25.0,4.000712124252459e-06,0.00010001780310631148,0.015007503751875938,0.0,0.0,0.02001000500250125,0.37458136677742004,0.007495375023059931,500.0,0.04053445905447006,20.26722952723503,200.0,0.005209947936236858,1.0419895872473717,0.0010005002501250625,0.07609917223453522,7.613724085496269e-05,0.0,0.0,0.0
4,20.02327537536621,1.0,1.585015343152918e-05,1.585015343152918e-05,0.0,0.0023660154547542334,0.0,20.0,9.000962563732173e-06,0.00018001925127464347,20.0,1.3265521374705713e-05,0.00026531042749411426,10.0,8.967240319179837e-06,8.967240319179837e-05,10.0,9.00167378858896e-06,9.00167378858896e-05,25.0,8.998917110147886e-06,0.00022497292775369715,0.022511255627813906,0.0,0.0,0.030015007503751877,0.37248167395591736,0.01118004023879692,500.0,0.038015805184841156,19.007902592420578,200.0,0.005016058683395386,1.0032117366790771,0.0015007503751875938,0.07606028020381927,0.0001141474940527553,0.0,0.0,0.0
5,18.78104591369629,1.0,1.5299765436793678e-05,1.5299765436793678e-05,0.0,0.003131172386929393,0.0,20.0,1.6002777556423098e-05,0.00032005555112846196,20.0,2.356744880671613e-05,0.0004713489761343226,10.0,1.5900817743386142e-05,0.00015900817743386142,10.0,1.6001626136130653e-05,0.00016001626136130653,25.0,1.598490598553326e-05,0.0003996226496383315,0.030015007503751877,0.0,0.0,0.0400200100050025,0.36923351883888245,0.014776729118114354,500.0,0.03559757024049759,17.798785120248795,200.0,0.00482903840020299,0.9658076800405979,0.002001000500250125,0.07601863145828247,0.00015211331957635312,0.0,0.0,0.0
6,17.590845108032227,1.0,1.4981396816438064e-05,1.4981396816438064e-05,0.0,0.0025129886344075203,0.0,20.0,2.5005942006828263e-05,0.0005001188401365653,20.0,3.678321809275076e-05,0.0007356643618550152,10.0,2.4756656785029918e-05,0.0002475665678502992,10.0,2.4988299628603272e-05,0.0002498829962860327,25.0,2.4923157980083488e-05,0.0006230789495020872,0.03751875937968985,0.0,0.0,0.05002501250625312,0.36478060483932495,0.018248154319125808,500.0,0.03328017145395279,16.640085726976395,200.0,0.00464974157512188,0.9299483150243759,0.0025012506253126563,0.07597027719020844,0.0001900207033271847,0.0,0.0,0.0
7,16.452030181884766,1.0,1.4817106603004504e-05,1.4817106603004504e-05,0.0,0.0026113514322787523,0.0,20.0,3.601058415370062e-05,0.0007202116830740124,20.0,5.288973625283688e-05,0.0010577947250567377,10.0,3.5477132769301534e-05,0.00035477132769301534,10.0,3.594722875277512e-05,0.0003594722875277512,25.0,3.577117604436353e-05,0.0008942794011090882,0.04502251125562781,0.0,0.0,0.060030015007503754,0.360910028219223,0.02166543441035856,500.0,0.031061582267284393,15.530791133642197,200.0,0.004479728639125824,0.8959457278251648,0.0030015007503751876,0.07591701298952103,0.00022786497145429023,0.0,0.0,0.0
8,15.36577320098877,1.0,1.4766896129003726e-05,1.4766896129003726e-05,0.0,0.0017171428771689534,0.0,20.0,4.9016958655556664e-05,0.0009803391731111333,20.0,7.183948764577508e-05,0.0014367897529155016,10.0,4.790839011548087e-05,0.0004790839011548087,10.0,4.884975714958273e-05,0.0004884975714958273,25.0,4.845715739065781e-05,0.0012114289347664453,0.05252626313156578,0.0,0.0,0.07003501750875438,0.35768499970436096,0.025050475216913726,500.0,0.0289448294788599,14.47241473942995,200.0,0.004317160230129957,0.8634320460259914,0.003501750875437719,0.07584106177091599,0.0002655765044504312,0.0,0.0,0.0
9,14.332320213317871,1.0,1.483830601500813e-05,1.483830601500813e-05,0.0,0.0014422829262912273,0.0,20.0,6.402404687833041e-05,0.0012804809375666082,20.0,9.35732969082892e-05,0.0018714659381657839,10.0,6.196305912453681e-05,0.0006196305912453681,10.0,6.365402805386111e-05,0.0006365402805386111,25.0,6.287499127211049e-05,0.0015718747818027623,0.060030015007503754,0.0,0.0,0.080040020010005,0.35405445098876953,0.028338525341772447,500.0,0.02693033590912819,13.465167954564095,200.0,0.004162580706179142,0.8325161412358284,0.00400200100050025,0.07574203610420227,0.00030311970426894353,0.0,0.0,0.0
10,13.351786613464355,1.0,1.4993134755059145e-05,1.4993134755059145e-05,0.0,0.0006801109993830323,0.0,20.0,8.103018626570702e-05,0.0016206037253141403,20.0,0.00011802691733464599,0.0023605383466929197,10.0,7.754609396215528e-05,0.0007754609396215528,10.0,8.029094169614837e-05,0.0008029094169614837,25.0,7.886855019023642e-05,0.0019717137547559105,0.06753376688344172,0.0,0.0,0.09004502251125562,0.350614070892334,0.031571051906263185,500.0,0.02501755580306053,12.508777901530266,200.0,0.004017756320536137,0.8035512641072273,0.004502251125562781,0.0756225436925888,0.0003404716824578785,0.0,0.0,0.0
11,12.422208786010742,1.0,1.5169627658906393e-05,1.5169627658906393e-05,0.0,0.0015529855154454708,0.0,20.0,0.00010003351781051606,0.002000670356210321,20.0,0.00014514868962578475,0.002902973792515695,10.0,9.45714273257181e-05,0.000945714273257181,10.0,9.866366599453613e-05,0.0009866366599453613,25.0,9.622595098335296e-05,0.002405648774583824,0.0750375187593797,0.0,0.0,0.10005002501250625,0.3482157588005066,0.034838995377739525,500.0,0.023203657940030098,11.601828970015049,200.0,0.003879532916471362,0.7759065832942724,0.0050025012506253125,0.0754917711019516,0.0003776476793494327,0.0,0.0,0.0
12,11.541265487670898,1.0,1.5400699339807034e-05,1.5400699339807034e-05,0.0,0.0017452656757086515,0.0,20.0,0.00012103126209694892,0.0024206252419389784,20.0,0.0001748113863868639,0.0034962277277372777,10.0,0.00011300539335934445,0.0011300539335934445,10.0,0.00011864255793625489,0.0011864255793625489,25.0,0.00011469488526927307,0.002867372131731827,0.08254127063531766,0.0,0.0,0.11005502751375688,0.34518635272979736,0.03798949354705124,500.0,0.021485645323991776,10.742822661995888,200.0,0.003744613379240036,0.7489226758480072,0.005502751375687844,0.07535362243652344,0.00041465224952564174,0.0,0.0,0.0
13,10.707696914672852,1.0,1.56890346261207e-05,1.56890346261207e-05,0.0,0.0021032767836004496,0.0,20.0,0.00014402050874195993,0.0028804101748391986,20.0,0.0002069317561108619,0.004138635122217238,10.0,0.00013280968414619565,0.0013280968414619565,10.0,0.0001400533365085721,0.001400533365085721,25.0,0.00013396464055404067,0.0033491160138510168,0.09004502251125562,0.0,0.0,0.12006003001500751,0.34262290596961975,0.04113531637454164,500.0,0.019859962165355682,9.929981082677841,200.0,0.0036150850355625153,0.723017007112503,0.006003001500750375,0.07521127909421921,0.0004514934212759532,0.0,0.0,0.0
14,9.92048454284668,1.0,1.6050656995503232e-05,1.6050656995503232e-05,0.0,0.0016307784244418144,0.0,20.0,0.00016899584443308413,0.0033799168886616826,20.0,0.0002414183982182294,0.004828367964364588,10.0,0.00015392398927360773,0.0015392398927360773,10.0,0.00016269662592094392,0.0016269662592094392,25.0,0.0001536379859317094,0.0038409496482927352,0.0975487743871936,0.0,0.0,0.13006503251625812,0.3413567841053009,0.044398581224301265,500.0,0.018324263393878937,9.162131696939468,200.0,0.0034911748953163624,0.6982349790632725,0.0065032516258129065,0.07507018744945526,0.00048820031858074956,0.0,0.0,0.0
15,9.177395820617676,1.0,1.643314681132324e-05,1.643314681132324e-05,0.0,0.0010255328379571438,0.0,20.0,0.00019595293269958347,0.003919058653991669,20.0,0.00027819673414342105,0.005563934682868421,10.0,0.0001763313775882125,0.001763313775882125,10.0,0.0001863687502918765,0.001863687502918765,25.0,0.00017326192755717784,0.004331548188929446,0.10505252626313157,0.0,0.0,0.14007003501750875,0.3414919972419739,0.047832796011882284,500.0,0.016875848174095154,8.437924087047577,200.0,0.003368282224982977,0.6736564449965954,0.007003501750875438,0.07493314892053604,0.000524794439663584,0.0,0.0,0.0
