node_a,node_b,min_distance_m,max_distance_m,mean_distance_m,ncs,mean_penetration_m,max_penetration_m
human.right_hand,bathroom faucet,0.13065437972545624,0.2099871039390564,0.16717910766601562,0.99974,0.010703985579311848,0.022593647241592407
human.left_foot,floor,0.007696161512285471,0.043641772121191025,0.02396024577319622,0.99974,0.010703985579311848,0.022593647241592407
human.right_foot,floor,0.025614844635128975,0.06414387375116348,0.05124153569340706,0.99974,0.010703985579311848,0.022593647241592407
