iter,total,mask_weight,mask_raw,mask_scaled,intersect_weight,intersect_raw,intersect_scaled,nocontact_weight,nocontact_raw,nocontact_scaled
1,30.30764389038086,500.0,1.72186173585942e-05,0.0086093086792971,0.0,0.0,0.0,500.0,0.05817495286464691,29.087476432323456
2,28.645729064941406,500.0,1.7072037735488266e-05,0.008536018867744133,0.007503751875937969,0.0,0.0,500.0,0.05495140329003334,27.47570164501667
3,27.05719566345215,500.0,1.6964777387329377e-05,0.008482388693664689,0.015007503751875938,0.0,0.0,500.0,0.051862262189388275,25.931131094694138
4,25.529075622558594,500.0,1.69014347193297e-05,0.00845071735966485,0.022511255627813906,0.0,0.0,500.0,0.048902180045843124,24.451090022921562
5,24.066511154174805,500.0,1.6958621927187778e-05,0.008479310963593889,0.030015007503751877,0.0,0.0,500.0,0.04606698453426361,23.033492267131805
6,22.66758155822754,500.0,1.717269333312288e-05,0.00858634666656144,0.03751875937968985,0.0,0.0,500.0,0.043355368077754974,21.677684038877487
7,21.33028221130371,500.0,1.7503836716059595e-05,0.008751918358029798,0.04502251125562781,0.0,0.0,500.0,0.04076384752988815,20.381923764944077
8,20.056543350219727,500.0,1.7879294318845496e-05,0.008939647159422748,0.05252626313156578,0.0,0.0,500.0,0.03828950226306915,19.144751131534576
9,18.854663848876953,500.0,1.8292175809619948e-05,0.009146087904809974,0.060030015007503754,0.0,0.0,500.0,0.03593018651008606,17.96509325504303
10,17.745269775390625,500.0,1.873602013802156e-05,0.00936801006901078,0.06753376688344172,0.0,0.0,500.0,0.03367935121059418,16.83967560529709
11,16.674938201904297,500.0,1.928535675688181e-05,0.009642678378440905,0.0750375187593797,0.0,0.0,500.0,0.03154929727315903,15.774648636579514
12,15.639516830444336,500.0,1.9933195289922878e-05,0.009966597644961439,0.08254127063531766,0.0,0.0,500.0,0.02952440455555916,14.76220227777958
13,14.646326065063477,500.0,2.06662189157214e-05,0.0103331094578607,0.09004502251125562,0.0,0.0,500.0,0.02760126441717148,13.80063220858574
14,13.689596176147461,500.0,2.142716220987495e-05,0.010713581104937475,0.0975487743871936,0.0,0.0,500.0,0.025785602629184723,12.892801314592361
15,12.79356861114502,500.0,2.2239688405534253e-05,0.011119844202767126,0.10505252626313157,0.0,0.0,500.0,0.02407791092991829,12.038955464959145
16,11.957460403442383,500.0,2.313351615157444e-05,0.01156675807578722,0.11255627813906953,0.0,0.0,500.0,0.02246081456542015,11.230407282710075
17,11.171890258789062,500.0,2.4074999600998126e-05,0.012037499800499063,0.12006003001500751,0.0,0.0,500.0,0.020927047356963158,10.463523678481579
18,10.421009063720703,500.0,2.50846533162985e-05,0.01254232665814925,0.12756378189094547,0.0,0.0,500.0,0.019476471468806267,9.738235734403133
19,9.712206840515137,500.0,2.613405740703456e-05,0.01306702870351728,0.13506753376688344,0.0,0.0,500.0,0.018106570467352867,9.053285233676434
20,9.048108100891113,500.0,2.720461634453386e-05,0.01360230817226693,0.1425712856428214,0.0,0.0,500.0,0.01681404747068882,8.40702373534441
21,8.422835350036621,500.0,2.829716686392203e-05,0.014148583431961015,0.1500750375187594,0.0,0.0,500.0,0.01559346355497837,7.796731777489185
22,7.832225322723389,500.0,2.941269485745579e-05,0.014706347428727895,0.15757878939469736,0.0,0.0,500.0,0.014443178661167622,7.221589330583811
23,7.278195858001709,500.0,3.05285575450398e-05,0.015264278772519901,0.16508254127063532,0.0,0.0,500.0,0.013364207930862904,6.682103965431452
24,6.76073694229126,500.0,3.166236274410039e-05,0.015831181372050196,0.17258629314657328,0.0,0.0,500.0,0.01234937272965908,6.17468636482954
25,6.276643753051758,500.0,3.2826421374920756e-05,0.016413210687460378,0.18009004502251125,0.0016552701126784086,0.0002980976691166719,500.0,0.011392511427402496,5.696255713701248
26,5.848739147186279,500.0,3.40223778039217e-05,0.01701118890196085,0.1875937968984492,0.0005361444782465696,0.00010057737836041201,500.0,0.01049291342496872,5.24645671248436
27,5.4253997802734375,500.0,3.529140667524189e-05,0.017645703337620944,0.1950975487743872,0.000990869477391243,0.0001933162061943896,500.0,0.009645025245845318,4.822512622922659
28,5.025083541870117,500.0,3.656225453596562e-05,0.01828112726798281,0.20260130065032517,0.0010916898027062416,0.00022117777393498142,500.0,0.008847475051879883,4.423737525939941
29,4.647276401519775,500.0,3.780330007430166e-05,0.01890165003715083,0.21010505252626313,0.001433848519809544,0.0003012588185692889,500.0,0.008096437901258469,4.048218950629234
30,4.293841361999512,500.0,3.907284190063365e-05,0.019536420950316824,0.2176088044022011,0.0019466595258563757,0.0004236102519997616,500.0,0.007391548715531826,3.695774357765913
31,3.9675588607788086,500.0,4.036971949972212e-05,0.02018485974986106,0.22511255627813906,0.0010469172848388553,0.00023567422620184334,500.0,0.0067315720953047276,3.3657860476523638
32,3.670363426208496,500.0,4.154444468440488e-05,0.02077222234220244,0.23261630815407705,0.0011029863962903619,0.00025657262344923375,500.0,0.0061213248409330845,3.0606624204665422
33,3.3920743465423584,500.0,4.264006201992743e-05,0.021320031009963714,0.24012006003001501,0.0015347566222772002,0.0003685258522726644,500.0,0.005556832067668438,2.778416033834219
34,3.135680913925171,500.0,4.369916132418439e-05,0.021849580662092194,0.24762381190595298,0.0022674386855214834,0.000561471810571853,500.0,0.005034973844885826,2.517486922442913
35,2.9025022983551025,500.0,4.472008004086092e-05,0.02236004002043046,0.25512756378189094,0.002046566689386964,0.000522135573580466,500.0,0.004552464932203293,2.2762324661016464
36,2.68898344039917,500.0,4.568098302115686e-05,0.02284049151057843,0.26263131565782893,0.0024748987052589655,0.0006499859030820195,500.0,0.004110774956643581,2.0553874783217907
37,2.5050253868103027,500.0,4.6650551666971296e-05,0.023325275833485648,0.27013506753376687,0.0033092088997364044,0.000893933369613636,500.0,0.003705238690599799,1.8526193452998996
38,2.334346055984497,500.0,4.761318996315822e-05,0.02380659498157911,0.27763881940970486,0.0038001774810254574,0.001055076789379254,500.0,0.003332871710881591,1.6664358554407954
39,2.178440809249878,500.0,4.875341255683452e-05,0.02437670627841726,0.2851425712856428,0.004690374247729778,0.0013374253732896316,500.0,0.0030000905971974134,1.5000452985987067
40,2.056212902069092,500.0,5.009794404031709e-05,0.025048972020158544,0.2926463231615808,0.005863559897989035,0.0017159492447841847,500.0,0.00269472599029541,1.347362995147705
41,1.9456710815429688,500.0,5.169179348740727e-05,0.025845896743703634,0.3001500750375188,0.0034999423660337925,0.0010505079637920338,500.0,0.002412061672657728,1.206030836328864
42,1.8374508619308472,500.0,5.386993143474683e-05,0.026934965717373416,0.3076538269134567,0.002699361415579915,0.0008304688697256867,500.0,0.002146973740309477,1.0734868701547384
43,1.7470213174819946,500.0,5.6129916629288346e-05,0.028064958314644173,0.3151575787893947,0.0029530655592679977,0.000930680991665252,500.0,0.001917339744977653,0.9586698724888265
44,1.6823318004608154,500.0,5.8219196944264695e-05,0.029109598472132348,0.32266133066533265,0.0035938885994255543,0.001159608877753618,500.0,0.0017257179133594036,0.8628589566797018
45,1.6240124702453613,500.0,6.041793676558882e-05,0.03020896838279441,0.33016508254127064,0.004430396482348442,0.0014627622202851285,500.0,0.0015656988834962249,0.7828494417481124
46,1.5836830139160156,500.0,6.257688801269978e-05,0.03128844400634989,0.33766883441720863,0.005005522631108761,0.0016902089924954546,500.0,0.001433894387446344,0.716947193723172
47,1.5491563081741333,500.0,6.456836126744747e-05,0.032284180633723736,0.34517258629314657,0.006301886402070522,0.0021752384279282943,500.0,0.0013273824006319046,0.6636912003159523
48,1.5414187908172607,500.0,6.62627280689776e-05,0.0331313640344888,0.35267633816908456,0.0069376882165670395,0.0024467584755776704,500.0,0.0012572184205055237,0.6286092102527618
49,1.5333547592163086,500.0,6.796170782763511e-05,0.033980853913817555,0.3601800900450225,0.0064363740384578705,0.002318253780735201,500.0,0.0011983285658061504,0.5991642829030752
50,1.4931098222732544,500.0,6.940177263459191e-05,0.034700886317295954,0.3676838419209605,0.005895816721022129,0.0021677965432472563,500.0,0.0011502117849886417,0.5751058924943209
51,1.4621288776397705,500.0,7.056249160086736e-05,0.03528124580043368,0.3751875937968984,0.004921455401927233,0.001846469010227826,500.0,0.0011126340832561255,0.5563170416280627
52,1.4290775060653687,500.0,7.191047188825905e-05,0.03595523594412953,0.3826913456728364,0.004472872242331505,0.0017117294974405208,500.0,0.0010781044838950038,0.5390522419475019
53,1.3970158100128174,500.0,7.290992652997375e-05,0.03645496326498687,0.3901950975487744,0.003932969644665718,0.0015346254741567084,500.0,0.0010519850766286254,0.5259925383143127
54,1.3676714897155762,500.0,7.381721661658958e-05,0.03690860830829479,0.39769884942471234,0.0037532509304583073,0.0014926635766454998,500.0,0.0010323231108486652,0.5161615554243326
55,1.3704103231430054,500.0,7.488294068025425e-05,0.037441470340127125,0.40520260130065033,0.004015949554741383,0.0016272732062733966,500.0,0.001017588539980352,0.508794269990176
56,1.3582946062088013,500.0,7.555619231425226e-05,0.03777809615712613,0.41270635317658827,0.004386028274893761,0.0018101417342608066,500.0,0.0010102520463988185,0.5051260231994092
57,1.3417364358901978,500.0,7.534802716691047e-05,0.037674013583455235,0.42021010505252626,0.004370871931314468,0.0018366845534287912,500.0,0.0010114406468346715,0.5057203234173357
58,1.3055299520492554,500.0,7.504115637857467e-05,0.037520578189287335,0.42771385692846425,0.004259382374584675,0.0018217968635667319,500.0,0.001014613313600421,0.5073066568002105
59,1.2903779745101929,500.0,7.494224701076746e-05,0.03747112350538373,0.4352176088044022,0.004682590719312429,0.002037945935868841,500.0,0.001018086215481162,0.509043107740581
60,1.2658296823501587,500.0,7.39958486519754e-05,0.0369979243259877,0.4427213606803402,0.004975504241883755,0.00220276200803758,500.0,0.0010271187638863921,0.5135593819431961
61,1.2471518516540527,500.0,7.247431494761258e-05,0.03623715747380629,0.4502251125562781,0.00478612445294857,0.002154833420537125,500.0,0.0010409721871837974,0.5204860935918987
62,1.2409857511520386,500.0,7.07774524926208e-05,0.0353887262463104,0.4577288644322161,0.004342206288129091,0.001987553153395757,500.0,0.0010552607709541917,0.5276303854770958
63,1.2250741720199585,500.0,6.898431456647813e-05,0.03449215728323907,0.4652326163081541,0.004052001982927322,0.0018851234838031066,500.0,0.0010693320073187351,0.5346660036593676
64,1.2113481760025024,500.0,6.725823186570778e-05,0.03362911593285389,0.47273636818409204,0.0036680386401712894,0.001734015265113491,500.0,0.0010802639881148934,0.5401319940574467
65,1.2023861408233643,500.0,6.544354255311191e-05,0.032721771276555955,0.48024012006003003,0.003336931113153696,0.0016025281984129807,500.0,0.0010903269285336137,0.5451634642668068
