View,Step0,Step49,Step99,Step149,Step199,Step249,Step299,Step349,Step399,Step449,Step499,Step549,Step599,Step649,Step699,Step749,Step799,Step849,Step899,Step949,Step999,Step1049,Step1099,Step1149,Step1199,Step1249,Step1299,Step1349,Step1399,Step1449,Step1499,Step1549,Step1599
000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.4548,0.4530,0.4387,0.4231,0.4065,0.3886,0.3698,0.3500,0.3301,0.3143,0.3395,0.3360,0.3299,0.3216,0.3139,0.3069,0.2849,0.2504,0.2180,0.1918,0.1652,0.1388,0.1181,0.0991
001,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6313,0.6494,0.6584,0.6679,0.6776,0.6875,0.6974,0.7071,0.7167,0.7246,0.7610,0.7654,0.7692,0.7742,0.7790,0.7838,0.7920,0.8295,0.8477,0.8569,0.8658,0.8743,0.8831,0.8898
003,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5951,0.6094,0.6123,0.6145,0.6161,0.6172,0.6177,0.6172,0.6160,0.6153,0.6563,0.6610,0.6595,0.6556,0.6514,0.6468,0.6415,0.6588,0.6539,0.6390,0.6167,0.5784,0.5344,0.4823
004,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6034,0.6278,0.6417,0.6557,0.6698,0.6838,0.6976,0.7112,0.7244,0.7374,0.7764,0.7854,0.7913,0.7967,0.8020,0.8070,0.8090,0.8156,0.8110,0.8014,0.7878,0.7697,0.7413,0.7052
005,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.4309,0.4231,0.4030,0.3810,0.3574,0.3326,0.3073,0.2821,0.2572,0.2335,0.2426,0.2273,0.2108,0.1976,0.1850,0.1729,0.1645,0.1797,0.1853,0.1808,0.1780,0.1827,0.1804,0.1847
009,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.4922,0.4927,0.4824,0.4718,0.4609,0.4495,0.4378,0.4257,0.4122,0.3939,0.4181,0.4045,0.3885,0.3720,0.3546,0.3365,0.3293,0.3947,0.4368,0.4628,0.5021,0.5547,0.6081,0.6589
