View,Step0,Step49,Step99,Step149,Step199,Step249,Step299,Step349,Step399,Step449,Step499,Step549,Step599,Step649,Step699,Step749,Step799,Step849,Step899,Step949,Step999,Step1049,Step1099,Step1149,Step1199,Step1249,Step1299,Step1349,Step1399,Step1449,Step1499,Step1549,Step1599
001,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6458,0.7226,0.7652,0.7939,0.8009,0.8074,0.8083,0.8088,0.8096,0.8091,0.8080,0.8868,0.9306,0.9492,0.9589,0.9698,0.9751,0.9783,0.9807,0.9826,0.9848,0.9863,0.9873,0.9881
002,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5991,0.6546,0.6752,0.6697,0.6531,0.6211,0.5730,0.5078,0.4296,0.3420,0.2549,0.2174,0.2059,0.1748,0.1280,0.1242,0.1302,0.1396,0.1481,0.1538,0.1691,0.1818,0.1897,0.1956
003,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3322,0.1561,0.0833,0.0499,0.0343,0.0251,0.0192,0.0153,0.0124,0.0103,0.0086,0.0068,0.0054,0.0043,0.0034,0.0030,0.0026,0.0023,0.0021,0.0019,0.0018,0.0016,0.0015,0.0014
004,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3883,0.2783,0.1967,0.1439,0.1077,0.0845,0.0683,0.0565,0.0477,0.0408,0.0353,0.0339,0.0340,0.0335,0.0323,0.0332,0.0345,0.0352,0.0372,0.0396,0.0455,0.0516,0.0571,0.0628
005,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5978,0.6664,0.7083,0.7309,0.7430,0.7472,0.7444,0.7357,0.7201,0.6928,0.6500,0.5106,0.2816,0.1472,0.0854,0.0678,0.0583,0.0524,0.0468,0.0419,0.0381,0.0348,0.0318,0.0292
006,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6123,0.6974,0.7589,0.8033,0.8346,0.8588,0.8774,0.8918,0.9036,0.9137,0.9223,0.9359,0.9487,0.9576,0.9640,0.9718,0.9764,0.9796,0.9820,0.9837,0.9855,0.9869,0.9879,0.9887
007,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6137,0.6890,0.7370,0.7672,0.7874,0.8024,0.8135,0.8224,0.8302,0.8363,0.8386,0.7951,0.6579,0.4018,0.1903,0.1409,0.1240,0.1153,0.1091,0.1014,0.0971,0.0924,0.0868,0.0812
008,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6268,0.7083,0.7613,0.7969,0.8202,0.8398,0.8569,0.8725,0.8861,0.8981,0.9087,0.9075,0.8927,0.8553,0.7498,0.6751,0.6709,0.6684,0.6613,0.6561,0.6525,0.6463,0.6369,0.6260
009,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3781,0.2669,0.1860,0.1339,0.1006,0.0788,0.0636,0.0526,0.0443,0.0378,0.0325,0.0282,0.0244,0.0211,0.0182,0.0159,0.0141,0.0126,0.0113,0.0103,0.0095,0.0087,0.0081,0.0075
010,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5179,0.3444,0.1737,0.0968,0.0589,0.0414,0.0313,0.0251,0.0208,0.0176,0.0152,0.0144,0.0138,0.0126,0.0109,0.0110,0.0112,0.0112,0.0116,0.0124,0.0145,0.0165,0.0182,0.0198
011,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5829,0.6573,0.6944,0.6990,0.7032,0.6824,0.6539,0.6058,0.5281,0.4270,0.3198,0.1539,0.0811,0.0508,0.0346,0.0281,0.0239,0.0210,0.0185,0.0166,0.0151,0.0138,0.0126,0.0116
013,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.2378,0.1076,0.0529,0.0314,0.0218,0.0161,0.0127,0.0103,0.0086,0.0072,0.0062,0.0052,0.0044,0.0037,0.0031,0.0027,0.0025,0.0022,0.0020,0.0019,0.0018,0.0016,0.0015,0.0014
015,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3477,0.2256,0.1402,0.0922,0.0665,0.0503,0.0398,0.0325,0.0271,0.0228,0.0195,0.0164,0.0139,0.0118,0.0099,0.0087,0.0077,0.0069,0.0061,0.0056,0.0051,0.0048,0.0044,0.0041
