iter,stage,total,prior_raw,prior_scaled,contact_raw,contact_scaled,dynamics_raw,dynamics_scaled,penetration_raw,penetration_scaled,smooth_raw,smooth_scaled
350,adam,0.25181254744529724,0.001963940914720297,0.04909852147102356,0.00021150626707822084,0.042301252484321594,1.4424252185563091e-05,0.0021636378951370716,0.00018266908591613173,0.0036533817183226347,0.00772978737950325,0.154595747590065
375,adam,0.2506254017353058,0.0020337835885584354,0.05084459111094475,0.0002112342626787722,0.042246852070093155,1.3919923731009476e-05,0.002087988657876849,0.00019703300495166332,0.003940660040825605,0.007575265131890774,0.15150530636310577
400,adam,0.24943625926971436,0.002095571020618081,0.052389275282621384,0.00021007785107940435,0.042015571147203445,1.3771322301181499e-05,0.0020656983833760023,0.00020713743288069963,0.004142748657613993,0.00744114862754941,0.14882297813892365
425,adam,0.24878236651420593,0.0021509171929210424,0.053772930055856705,0.00020971884077880532,0.04194376990199089,1.3973916793474928e-05,0.0020960874389857054,0.0002210330421803519,0.004420660901814699,0.007327445782721043,0.14654891192913055
450,adam,0.2480907291173935,0.0021980784367769957,0.05495196208357811,0.0002100877172779292,0.04201754182577133,1.4026793905941304e-05,0.002104019047692418,0.00022742265718989074,0.004548453260213137,0.007223437540233135,0.144468754529953
475,adam,0.24767032265663147,0.002240133471786976,0.05600333586335182,0.00020954458159394562,0.04190891608595848,1.4145814020594116e-05,0.0021218720357865095,0.00024540178128518164,0.004908035509288311,0.007136408239603043,0.14272816479206085
500,adam,0.2472206950187683,0.00227510672993958,0.05687766894698143,0.00020989577751606703,0.04197915643453598,1.39458934427239e-05,0.0020918839145451784,0.0002543946320656687,0.005087892524898052,0.007059204857796431,0.14118409156799316
525,adam,0.2469090223312378,0.002306426875293255,0.057660672813653946,0.000209844161872752,0.04196883365511894,1.3855126780981664e-05,0.0020782689098268747,0.0002646238717716187,0.005292477551847696,0.006995437666773796,0.13990876078605652
550,adam,0.24696224927902222,0.0023363535292446613,0.058408837765455246,0.0002094851661240682,0.04189703240990639,1.4238474250305444e-05,0.002135771093890071,0.00028652508626691997,0.005730501841753721,0.006939505226910114,0.138790100812912
575,adam,0.24659830331802368,0.002358841709792614,0.058971043676137924,0.00021005686721764505,0.04201137274503708,1.4149769413052127e-05,0.0021224655210971832,0.00028954140725545585,0.005790828261524439,0.00688512995839119,0.1377025991678238
600,adam,0.24681341648101807,0.0023810823913663626,0.05952705815434456,0.00021070323418825865,0.042140647768974304,1.4743165593245067e-05,0.0022114748135209084,0.0003023162134923041,0.006046324037015438,0.006844396237283945,0.13688792288303375
625,adam,0.24645449221134186,0.0024001712445169687,0.060004282742738724,0.00021066554472781718,0.04213310778141022,1.4728667338204104e-05,0.002209300175309181,0.00030486841569654644,0.0060973684303462505,0.00680052163079381,0.13601043820381165
650,adam,0.2467001974582672,0.0024168030358850956,0.06042007729411125,0.00021155968715902418,0.04231193661689758,1.4528854080708697e-05,0.0021793281193822622,0.00032359277247451246,0.006471855565905571,0.0067658498883247375,0.13531699776649475
675,adam,0.24620456993579865,0.0024352262262254953,0.06088065728545189,0.00020962179405614734,0.041924357414245605,1.4783918231842108e-05,0.0022175877820700407,0.00031964853405952454,0.006392970681190491,0.006739449687302113,0.13478899002075195
700,adam,0.245883971452713,0.002449620747938752,0.06124052032828331,0.00020999270782340318,0.041998542845249176,1.4734499018231872e-05,0.002210174920037389,0.000315550685627386,0.006311013828963041,0.006706186570227146,0.13412372767925262
725,adam,0.2455255538225174,0.0024610490072518587,0.06152622401714325,0.00021025592286605388,0.04205118492245674,1.4358232874656096e-05,0.0021537349093705416,0.00031137143378145993,0.006227428559213877,0.0066783493384718895,0.1335669904947281
750,adam,0.24550671875476837,0.002473395084962249,0.061834875494241714,0.00021079690486658365,0.04215938225388527,1.4563991499016993e-05,0.002184598706662655,0.0003144736110698432,0.006289472337812185,0.006651919335126877,0.13303838670253754
775,adam,0.24510514736175537,0.0024860487319529057,0.0621512196958065,0.0002097143151331693,0.041942864656448364,1.4573872249457054e-05,0.0021860809065401554,0.0003104156057815999,0.006208312232047319,0.006630833260715008,0.13261666893959045
800,adam,0.2449606955051422,0.0024965782649815083,0.06241445615887642,0.00020954592037014663,0.04190918430685997,1.4375838873093016e-05,0.0021563759073615074,0.00031483263592235744,0.006296652834862471,0.006609201431274414,0.13218402862548828
825,adam,0.2449854016304016,0.0025045645888894796,0.06261411309242249,0.00021056747937109321,0.042113494127988815,1.4554430890711956e-05,0.0021831647027283907,0.00031466787913814187,0.006293357349932194,0.006589063908904791,0.13178128004074097
850,adam,0.24468930065631866,0.002513257786631584,0.06283144652843475,0.00020997144747525454,0.04199428856372833,1.4527404346154071e-05,0.0021791106555610895,0.00030981918098405004,0.006196383386850357,0.006574403494596481,0.13148806989192963
875,adam,0.2444867491722107,0.002521321875974536,0.06303304433822632,0.00021004736481700093,0.04200947284698486,1.4440623999689706e-05,0.002166093559935689,0.0003069291706196964,0.006138583645224571,0.006556977517902851,0.13113954663276672
900,adam,0.24432909488677979,0.0025288118049502373,0.06322029232978821,0.0002095995150739327,0.041919901967048645,1.4356975952978246e-05,0.002153546316549182,0.0003079957969021052,0.006159916054457426,0.006543772295117378,0.13087543845176697
925,adam,0.24433767795562744,0.0025354488752782345,0.0633862242102623,0.00021007329632993788,0.04201465845108032,1.4592684237868525e-05,0.0021889025811105967,0.00030842283740639687,0.006168456748127937,0.006528971251100302,0.13057942688465118
950,adam,0.24427565932273865,0.0025417485740035772,0.06354371458292007,0.000210064637940377,0.04201292619109154,1.4649291188106872e-05,0.0021973936818540096,0.00030748615972697735,0.006149723194539547,0.006518595851957798,0.13037191331386566
975,adam,0.24446949362754822,0.002546243369579315,0.06365608423948288,0.0002104059822158888,0.04208119586110115,1.461279589420883e-05,0.00219191936776042,0.0003165339003317058,0.00633067823946476,0.006510480772703886,0.13020960986614227
1000,adam,0.24400030076503754,0.0025516387540847063,0.06379096955060959,0.00020873318135272712,0.04174663498997688,1.4337891116156243e-05,0.0021506836637854576,0.00031564972596243024,0.006312994286417961,0.006499950308352709,0.12999901175498962
1025,adam,0.24425074458122253,0.0025559451896697283,0.06389863044023514,0.00021014618687331676,0.0420292392373085,1.477150999562582e-05,0.0022157265339046717,0.0003149050462525338,0.006298101041465998,0.0064904517494142056,0.12980903685092926
1050,adam,0.24409246444702148,0.0025608420837670565,0.0640210509300232,0.00021056852710898966,0.04211370646953583,1.4631676094722934e-05,0.0021947515197098255,0.00030500427237711847,0.006100085563957691,0.006483143661171198,0.1296628713607788
1075,adam,0.24406121671199799,0.002565298229455948,0.0641324520111084,0.0002101498976117,0.042029980570077896,1.4701501640956849e-05,0.002205225173383951,0.0003064513730350882,0.006129027344286442,0.0064782267436385155,0.1295645385980606
1100,adam,0.24379411339759827,0.0025713839568197727,0.06428460031747818,0.00020888401195406914,0.04177680239081383,1.4649715012637898e-05,0.002197457244619727,0.0003054932167287916,0.006109864450991154,0.006471269764006138,0.12942539155483246
1125,adam,0.24373051524162292,0.002574594458565116,0.06436485797166824,0.00020893487089779228,0.04178697243332863,1.4517084309773054e-05,0.002177562564611435,0.0003104393545072526,0.006208787206560373,0.006459616590291262,0.12919233739376068
1150,adam,0.2438502013683319,0.0025787337217479944,0.06446834653615952,0.00020917800429742783,0.04183560237288475,1.4285059478424955e-05,0.002142758807167411,0.0003139837644994259,0.006279675289988518,0.006456191185861826,0.12912382185459137
1175,adam,0.24389201402664185,0.002581180538982153,0.06452951580286026,0.0002098962722811848,0.04197925329208374,1.4508594176732004e-05,0.002176289213821292,0.0003094676067121327,0.00618935190141201,0.0064508793875575066,0.12901759147644043
1199,adam,0.24378462135791779,0.002584525616839528,0.06461314111948013,0.00020915451750624925,0.04183090478181839,1.4493884009425528e-05,0.002174082677811384,0.00031024363124743104,0.006204872392117977,0.006448080763220787,0.12896162271499634
1200,lbfgs,0.24362123012542725,0.0025844459887593985,0.06461115181446075,0.0002092888462357223,0.0418577678501606,1.4555164852936286e-05,0.002183274831622839,0.0003015439724549651,0.006030879449099302,0.0064469086937606335,0.12893816828727722
1225,lbfgs,0.24361708760261536,0.002584446221590042,0.06461115181446075,0.00020928567391820252,0.04185713455080986,1.4553616892953869e-05,0.0021830424666404724,0.0003014685935340822,0.006029372103512287,0.006446818821132183,0.12893638014793396
1250,lbfgs,0.24361708760261536,0.002584446221590042,0.06461115181446075,0.00020928567391820252,0.04185713455080986,1.4553616892953869e-05,0.0021830424666404724,0.0003014685935340822,0.006029372103512287,0.006446818821132183,0.12893638014793396
1275,lbfgs,0.24361708760261536,0.002584446221590042,0.06461115181446075,0.00020928567391820252,0.04185713455080986,1.4553616892953869e-05,0.0021830424666404724,0.0003014685935340822,0.006029372103512287,0.006446818821132183,0.12893638014793396
1299,lbfgs,0.24361708760261536,0.002584446221590042,0.06461115181446075,0.00020928567391820252,0.04185713455080986,1.4553616892953869e-05,0.0021830424666404724,0.0003014685935340822,0.006029372103512287,0.006446818821132183,0.12893638014793396
