frame_idx,prior_raw,prior_scaled,contact_raw,contact_scaled,dynamics_raw,dynamics_scaled,penetration_raw,penetration_scaled,smooth_raw,smooth_scaled,human_prior_raw,human_prior_scaled,human_smooth_raw,human_smooth_scaled,human_mask_2d_raw,human_mask_2d_scaled,object_mask_2d_raw,object_mask_2d_scaled,object_part_mask_2d_raw,object_part_mask_2d_scaled,total_raw_local,total_scaled_local
0,3.5039265640079975e-05,0.0007007853128015995,0.0010903537040576339,0.21807074546813965,0.0,0.0,0.001567141036503017,0.03134281933307648,0.0,0.0,3.809678219113266e-06,0.00038096783100627363,0.0,0.0,3.178252518409863e-05,0.0012713009491562843,0.000499488553032279,0.029969312250614166,0.0005785609828308225,0.06942731887102127,0.0038061756640672684,0.35116323828697205
1,4.259840716258623e-05,0.0008519681286998093,0.0010658949613571167,0.21317899227142334,9.834151569521055e-06,0.001475122757256031,0.0011692177504301071,0.023384355008602142,0.001213353592902422,0.02426707185804844,3.5556688544602366e-06,0.00035556688089855015,7.954539796628524e-06,0.0002386361884418875,3.073883999604732e-05,0.0012295535998418927,0.0004920612554997206,0.02952367439866066,0.0005722134374082088,0.06866560876369476,0.004607422277331352,0.3631705641746521
2,3.965216819779016e-05,0.000793043349403888,0.0010022135684266686,0.20044271647930145,1.4086018381931353e-05,0.0021129027009010315,0.0014541225973516703,0.02908245101571083,0.002201257972046733,0.04402516037225723,3.843132617475931e-06,0.00038431325810961425,9.830946510192007e-06,0.000294928380753845,3.0239849365898408e-05,0.001209593960084021,0.00046165077947080135,0.027699045836925507,0.0005748644471168518,0.06898373365402222,0.005791761912405491,0.3750278651714325
3,3.2081086828839034e-05,0.0006416217656806111,0.0009586008382029831,0.1917201727628708,1.5982373952283524e-05,0.00239735608920455,0.0024713107850402594,0.04942621663212776,0.0025829304940998554,0.05165860801935196,4.012027147837216e-06,0.0004012027056887746,1.3997870155435521e-05,0.00041993611375801265,2.904297798522748e-05,0.0011617190903052688,0.0004141791141591966,0.024850746616721153,0.0005735193844884634,0.06882232427597046,0.007095657289028168,0.39149993658065796
4,2.0383289665915072e-05,0.00040766579331830144,0.000979141565039754,0.19582831859588623,1.8180258848587982e-05,0.002727038925513625,0.0012512117391452193,0.025024235248565674,0.0035958304069936275,0.0719166100025177,3.4296224384888774e-06,0.00034296224475838244,3.908681719622109e-06,0.00011726045340765268,2.6870457077166066e-05,0.001074818312190473,0.0003749173483811319,0.02249504067003727,0.0007084181997925043,0.08501018583774567,0.006982292048633099,0.40494412183761597
5,1.3500411114364397e-05,0.00027000822592526674,0.0009030615910887718,0.18061232566833496,2.7056923499912955e-05,0.004058538470417261,0.0024474868550896645,0.04894973710179329,0.003922071307897568,0.07844142615795135,3.1601020964444615e-06,0.00031601020600646734,1.1956015441683121e-05,0.00035868046688847244,2.8739203116856515e-05,0.0011495681246742606,0.0003909795777872205,0.023458775132894516,0.0006329391035251319,0.0759526938199997,0.008380950428545475,0.41356778144836426
6,1.2022212104056962e-05,0.00024044423480518162,0.0008928332827053964,0.17856664955615997,6.436073363147443e-06,0.000965411018114537,0.0015993081033229828,0.031986162066459656,0.003698042593896389,0.07396085560321808,2.586567688922514e-06,0.0002586567716207355,1.4394774552783929e-05,0.0004318432474974543,3.071758692385629e-05,0.0012287034187465906,0.00037693532067351043,0.02261612005531788,0.0007240941049531102,0.0868912935256958,0.007357371039688587,0.3971461057662964
7,1.4585020835511386e-05,0.00029170041671022773,0.0008326141978614032,0.16652284562587738,1.3571670024248306e-05,0.0020357505418360233,0.0020393235608935356,0.04078647121787071,0.0030121207237243652,0.060242414474487305,2.5682916202640627e-06,0.0002568291674833745,1.8930247733806027e-06,5.6790744565660134e-05,3.1301387934945524e-05,0.001252055517397821,0.0003863127203658223,0.023178763687610626,0.0007412380655296147,0.0889485701918602,0.007075528614223003,0.38357222080230713
8,1.375625106447842e-05,0.000275125028565526,0.0008066766313277185,0.1613353192806244,3.122963335044915e-06,0.0004684444866143167,0.0020594813395291567,0.04118962585926056,0.0018536512507125735,0.03707302361726761,2.562512463555322e-06,0.0002562512527219951,6.920773785168421e-07,2.076232158287894e-05,3.0241151762311347e-05,0.0012096461141481996,0.00038132595364004374,0.02287955768406391,0.0007925351383164525,0.09510421752929688,0.005944044794887304,0.3598119914531708
9,1.3222570487414487e-05,0.0002644514024723321,0.0008182606543414295,0.16365213692188263,3.8000466702214908e-06,0.000570007017813623,0.0020787750836461782,0.04157550260424614,0.001417810097336769,0.028356201946735382,2.631325969559839e-06,0.0002631325914990157,2.9808470571879297e-06,8.942541171563789e-05,2.9684735636692494e-05,0.0011873894836753607,0.00039532111259177327,0.023719266057014465,0.0008235873538069427,0.09883048385381699,0.0055860732682049274,0.35850802063941956
