iter,total,mask_weight,mask_raw,mask_scaled,intersect_weight,intersect_raw,intersect_scaled,nocontact_weight,nocontact_raw,nocontact_scaled,floor_nocontact_weight,floor_nocontact_raw,floor_nocontact_scaled
1,30.68506622314453,500.0,1.72186173585942e-05,0.0086093086792971,0.0,0.0,0.0,500.0,0.05817495286464691,29.087476432323456,200.0,0.007584012113511562,1.5168024227023125
2,29.016788482666016,500.0,1.703952148091048e-05,0.00851976074045524,0.007503751875937969,0.0,0.0,500.0,0.05495142191648483,27.475710958242416,200.0,0.007302671205252409,1.4605342410504818
3,27.42741584777832,500.0,1.6928825061768293e-05,0.008464412530884147,0.015007503751875938,0.0,0.0,500.0,0.05186191573739052,25.93095786869526,200.0,0.0070269410498440266,1.4053882099688053
4,25.898273468017578,500.0,1.686950054136105e-05,0.008434750270680524,0.022511255627813906,0.0,0.0,500.0,0.0489015057682991,24.45075288414955,200.0,0.006760488264262676,1.3520976528525352
5,24.432897567749023,500.0,1.694342790869996e-05,0.00847171395434998,0.030015007503751877,0.0,0.0,500.0,0.046066366136074066,23.033183068037033,200.0,0.0064970264211297035,1.2994052842259407
6,23.03099822998047,500.0,1.7158999980892986e-05,0.008579499990446493,0.03751875937968985,0.0,0.0,500.0,0.043354976922273636,21.677488461136818,200.0,0.006237803027033806,1.2475606054067612
7,21.690759658813477,500.0,1.7505406503914855e-05,0.008752703251957428,0.04502251125562781,0.0,0.0,500.0,0.04076380282640457,20.381901413202286,200.0,0.00598513800650835,1.19702760130167
8,20.412418365478516,500.0,1.7899346858030185e-05,0.008949673429015093,0.05252626313156578,0.0,0.0,500.0,0.03828985244035721,19.144926220178604,200.0,0.005738736130297184,1.1477472260594368
9,19.202075958251953,500.0,1.833663736761082e-05,0.00916831868380541,0.060030015007503754,0.0,0.0,500.0,0.03593095391988754,17.96547695994377,200.0,0.005492408759891987,1.0984817519783974
10,18.080739974975586,500.0,1.879639967228286e-05,0.00939819983614143,0.06753376688344172,0.0,0.0,500.0,0.03367959335446358,16.83979667723179,200.0,0.005249666981399059,1.0499333962798119
11,17.007850646972656,500.0,1.933840940182563e-05,0.009669204700912815,0.0750375187593797,0.0,0.0,500.0,0.031559839844703674,15.779919922351837,200.0,0.005008049309253693,1.0016098618507385
12,15.96871280670166,500.0,1.997955587285105e-05,0.009989777936425526,0.08254127063531766,0.0,0.0,500.0,0.029541732743382454,14.770866371691227,200.0,0.00477188266813755,0.9543765336275101
13,14.97107219696045,500.0,2.069882975774817e-05,0.010349414878874086,0.09004502251125562,0.0,0.0,500.0,0.027623265981674194,13.811632990837097,200.0,0.004542498383671045,0.9084996767342091
14,14.016425132751465,500.0,2.1464944438776e-05,0.010732472219388,0.0975487743871936,0.0,0.0,500.0,0.025799870491027832,12.899935245513916,200.0,0.0043198722414672375,0.8639744482934475
15,13.100874900817871,500.0,2.22653106902726e-05,0.0111326553451363,0.10505252626313157,0.0,0.0,500.0,0.02407895028591156,12.03947514295578,200.0,0.004110563080757856,0.8221126161515713
16,12.242630004882812,500.0,2.3141617930377834e-05,0.011570808965188917,0.11255627813906953,0.0,0.0,500.0,0.022458096966147423,11.229048483073711,200.0,0.003913880791515112,0.7827761583030224
