iter,stage,total,orient_gvhmr_weight,orient_gvhmr_raw,orient_gvhmr_scaled,pose_gvhmr_weight,pose_gvhmr_raw,pose_gvhmr_scaled,height_prior_weight,height_prior_raw,height_prior_scaled,scene_intersect_weight,scene_intersect_raw,scene_intersect_scaled,human_scene_depth_weight,human_scene_depth_raw,human_scene_depth_scaled,nocontact_weight,nocontact_raw,nocontact_scaled,self_intersect_weight,self_intersect_raw,self_intersect_scaled,scene_intersect_num_scene_collision_points,scene_intersect_num_sdf_query_points,scene_intersect_num_inside_or_margin_points
1,rigid,63.109596252441406,100.0,5.366078128820121e-16,5.3660781288201206e-14,250.0,0.0,0.0,1.0,0.0,0.0,60.0,0.019207624718546867,1.152457483112812,0.0,0.0,0.0,800.0,0.07744642347097397,61.957138776779175,0.0,0.0,0.0,700000,700000,10723
2,rigid,62.60138702392578,100.0,5.366078128820121e-16,5.3660781288201206e-14,250.0,0.0,0.0,1.0,2.49834272381122e-07,2.49834272381122e-07,60.0,0.01869678869843483,1.1218073219060898,0.0,0.0,0.0,800.0,0.07684947550296783,61.47958040237427,0.0,0.0,0.0,700000,700000,10656
3,rigid,62.1575813293457,100.0,5.366078128820121e-16,5.3660781288201206e-14,250.0,0.0,0.0,1.0,9.99337089524488e-07,9.99337089524488e-07,60.0,0.019193237647414207,1.1515942588448524,0.0,0.0,0.0,800.0,0.07625748217105865,61.005985736846924,0.0,0.0,0.0,700000,700000,10662
4,rigid,61.641700744628906,100.0,5.366078128820121e-16,5.3660781288201206e-14,250.0,0.0,0.0,1.0,2.2485082808998413e-06,2.2485082808998413e-06,60.0,0.018424665555357933,1.105479933321476,0.0,0.0,0.0,800.0,0.0756702721118927,60.53621768951416,0.0,0.0,0.0,700000,700000,10479
5,rigid,61.21883773803711,100.0,5.366078128820121e-16,5.3660781288201206e-14,250.0,0.0,0.0,1.0,3.98797010348062e-06,3.98797010348062e-06,60.0,0.01912558078765869,1.1475348472595215,0.0,0.0,0.0,800.0,0.07508912682533264,60.07130146026611,0.0,0.0,0.0,700000,700000,10483
6,rigid,60.71992111206055,100.0,5.366078128820121e-16,5.3660781288201206e-14,250.0,0.0,0.0,1.0,6.2575909396400675e-06,6.2575909396400675e-06,60.0,0.018463151529431343,1.1077890917658806,0.0,0.0,0.0,800.0,0.07451515644788742,59.61212515830994,0.0,0.0,0.0,700000,700000,10307
7,rigid,60.26710510253906,100.0,5.366078128820121e-16,5.3660781288201206e-14,250.0,0.0,0.0,1.0,9.008113920572214e-06,9.008113920572214e-06,60.0,0.0184978935867548,1.109873615205288,0.0,0.0,0.0,800.0,0.0739465281367302,59.157222509384155,0.0,0.0,0.0,700000,700000,10188
8,rigid,59.830753326416016,100.0,5.366078128820121e-16,5.3660781288201206e-14,250.0,0.0,0.0,1.0,1.225830419571139e-05,1.225830419571139e-05,60.0,0.01872752234339714,1.1236513406038284,0.0,0.0,0.0,800.0,0.0733838602900505,58.707088232040405,0.0,0.0,0.0,700000,700000,10120
9,rigid,59.369972229003906,100.0,5.366078128820121e-16,5.3660781288201206e-14,250.0,0.0,0.0,1.0,1.602694646862801e-05,1.602694646862801e-05,60.0,0.018474619835615158,1.1084771901369095,0.0,0.0,0.0,800.0,0.07282684743404388,58.26147794723511,0.0,0.0,0.0,700000,700000,9914
10,rigid,58.90688705444336,100.0,5.366078128820121e-16,5.3660781288201206e-14,250.0,0.0,0.0,1.0,2.0278821466490626e-05,2.0278821466490626e-05,60.0,0.01811067946255207,1.0866407677531242,0.0,0.0,0.0,800.0,0.07227528095245361,57.82022476196289,0.0,0.0,0.0,700000,700000,9854
11,rigid,58.47989273071289,100.0,5.366078128820121e-16,5.3660781288201206e-14,250.0,0.0,0.0,1.0,2.505385418771766e-05,2.505385418771766e-05,60.0,0.01827927678823471,1.0967566072940826,0.0,0.0,0.0,800.0,0.07172888517379761,57.383108139038086,0.0,0.0,0.0,700000,700000,9768
