iter,total,corr,reproj,scale_reg,t_reg,scale,tx,ty,tz
47,6.36690140,6.36674023,4221.68554688,0.05527361,0.10597000,1.26503956,-0.05811067,-0.22379784,0.22914553
48,6.29276609,6.29259825,4296.60595703,0.05764272,0.11002874,1.27136219,-0.05773953,-0.22811551,0.23379095
49,6.21897888,6.21880484,4372.55712891,0.06006042,0.11416313,1.27771366,-0.05747839,-0.23240826,0.23842351
50,6.14554548,6.14536476,4449.22851562,0.06252657,0.11837088,1.28409362,-0.05731957,-0.23667577,0.24304307
51,6.07246780,6.07228041,4526.31396484,0.06504105,0.12264962,1.29050219,-0.05725382,-0.24091777,0.24764946
52,5.99975014,5.99955559,4603.51562500,0.06760368,0.12699690,1.29693925,-0.05727064,-0.24513398,0.25224257
53,5.92739487,5.92719316,4680.54003906,0.07021433,0.13141018,1.30340481,-0.05735859,-0.24932413,0.25682223
54,5.85540628,5.85519743,4757.10595703,0.07287281,0.13588688,1.30989850,-0.05750556,-0.25348794,0.26138830
55,5.78378677,5.78357077,4832.94287109,0.07557897,0.14042433,1.31642044,-0.05769905,-0.25762513,0.26594067
56,5.71253920,5.71231604,4907.79541016,0.07833261,0.14501992,1.32297063,-0.05792654,-0.26173547,0.27047917
57,5.64166880,5.64143801,4981.42480469,0.08113354,0.14967099,1.32954860,-0.05817565,-0.26581869,0.27500367
58,5.57117701,5.57093859,5053.60839844,0.08398160,0.15437494,1.33615458,-0.05843447,-0.26987451,0.27951404
59,5.50106859,5.50082254,5124.14257812,0.08687656,0.15912920,1.34278834,-0.05869175,-0.27390271,0.28401017
60,5.43134356,5.43108988,5192.85058594,0.08981822,0.16393125,1.34944975,-0.05893711,-0.27790302,0.28849190
61,5.36200953,5.36174774,5259.57714844,0.09280638,0.16877872,1.35613859,-0.05916123,-0.28187519,0.29295909
62,5.29306650,5.29279709,5324.19238281,0.09584079,0.17366928,1.36285472,-0.05935595,-0.28581896,0.29741162
63,5.22451687,5.22423935,5386.59277344,0.09892122,0.17860086,1.36959827,-0.05951441,-0.28973413,0.30184937
64,5.15636635,5.15608072,5446.70263672,0.10204744,0.18357146,1.37636864,-0.05963109,-0.29362041,0.30627218
65,5.08861542,5.08832169,5504.47070312,0.10521920,0.18857925,1.38316607,-0.05970187,-0.29747757,0.31067994
66,5.02126884,5.02096701,5559.87500000,0.10843626,0.19362259,1.38998997,-0.05972401,-0.30130538,0.31507251
67,4.95432854,4.95401812,5612.90966797,0.11169834,0.19869998,1.39684057,-0.05969615,-0.30510360,0.31944975
68,4.88779736,4.88747883,5663.59716797,0.11500517,0.20381019,1.40371752,-0.05961819,-0.30887201,0.32381156
69,4.82167816,4.82135105,5711.97460938,0.11835647,0.20895199,1.41062069,-0.05949125,-0.31261036,0.32815781
70,4.75597715,4.75564146,5758.10205078,0.12175196,0.21412443,1.41754949,-0.05931755,-0.31631842,0.33248836
71,4.69069338,4.69034863,5802.03906250,0.12519133,0.21932657,1.42450428,-0.05910023,-0.31999597,0.33680308
72,4.62583113,4.62547779,5843.86474609,0.12867428,0.22455762,1.43148446,-0.05884328,-0.32364276,0.34110183
73,4.56139278,4.56103086,5883.66162109,0.13220051,0.22981688,1.43849003,-0.05855132,-0.32725859,0.34538448
74,4.49738455,4.49701357,5921.51416016,0.13576967,0.23510367,1.44552040,-0.05822945,-0.33084321,0.34965092
75,4.43380642,4.43342686,5957.50341797,0.13938145,0.24041735,1.45257556,-0.05788312,-0.33439639,0.35390103
76,4.37066174,4.37027311,5991.71142578,0.14303550,0.24575727,1.45965528,-0.05751793,-0.33791792,0.35813466
77,4.30795383,4.30755568,6024.21972656,0.14673148,0.25112283,1.46675944,-0.05713949,-0.34140760,0.36235169
78,4.24568701,4.24527979,6055.09814453,0.15046902,0.25651327,1.47388732,-0.05675330,-0.34486517,0.36655197
79,4.18386030,4.18344450,6084.40429688,0.15424776,0.26192793,1.48103905,-0.05636455,-0.34829044,0.37073541
80,4.12248135,4.12205601,6112.20068359,0.15806732,0.26736599,1.48821414,-0.05597811,-0.35168317,0.37490186
81,4.06155014,4.06111526,6138.52685547,0.16192731,0.27282661,1.49541235,-0.05559834,-0.35504314,0.37905118
82,4.00107193,4.00062752,6163.42968750,0.16582733,0.27830881,1.50263321,-0.05522905,-0.35837016,0.38318324
83,3.94104648,3.94059300,6186.93359375,0.16976696,0.28381160,1.50987661,-0.05487344,-0.36166397,0.38729793
84,3.88147950,3.88101625,6209.06250000,0.17374581,0.28933391,1.51714194,-0.05453406,-0.36492440,0.39139512
85,3.82237124,3.82189846,6229.82910156,0.17776343,0.29487455,1.52442920,-0.05421281,-0.36815122,0.39547467
86,3.76372671,3.76324439,6249.24609375,0.18181941,0.30043229,1.53173780,-0.05391089,-0.37134421,0.39953646
87,3.70554662,3.70505476,6267.31005859,0.18591329,0.30600584,1.53906739,-0.05362888,-0.37450320,0.40358037
88,3.64783573,3.64733410,6284.02685547,0.19004461,0.31159371,1.54641759,-0.05336672,-0.37762794,0.40760624
89,3.59059525,3.59008384,6299.38720703,0.19421291,0.31719458,1.55378819,-0.05312380,-0.38071826,0.41161397
90,3.53382802,3.53330684,6313.38134766,0.19841772,0.32280689,1.56117857,-0.05289901,-0.38377392,0.41560340
91,3.47753716,3.47700596,6325.99902344,0.20265852,0.32842919,1.56858838,-0.05269079,-0.38679475,0.41957441
92,3.42172503,3.42118406,6337.23632812,0.20693482,0.33405983,1.57601726,-0.05249723,-0.38978052,0.42352688
