iter,total,track_reproj_weight,track_reproj_raw,track_reproj_scaled,object_cd2d_weight,object_cd2d_raw,object_cd2d_scaled,object_part_cd2d_weight,object_part_cd2d_raw,object_part_cd2d_scaled,object_smooth_trans_weight,object_smooth_trans_raw,object_smooth_trans_scaled,object_smooth_rot_weight,object_smooth_rot_raw,object_smooth_rot_scaled,object_scale_weight,object_scale_raw,object_scale_scaled,intersect_weight,intersect_raw,intersect_scaled,nocontact_weight,nocontact_raw,nocontact_scaled,contact_drift_weight,contact_drift_raw,contact_drift_scaled
20,15.312397956848145,1.0,13.143820762634277,13.143820762634277,0.0001,134.3205108642578,0.013432051055133343,0.0001,318.23590087890625,0.03182359039783478,1000.0,5.578297987085534e-06,0.00557829812169075,1000.0,5.14984492383519e-07,0.0005149844801053405,1.0,0.0,0.0,0.2,0.0016304340679198503,0.00032608682522550225,1000.0,0.0021148361265659332,2.1148362159729004,29.8,6.93144611432217e-05,0.00206557079218328
40,15.003902435302734,1.0,13.2048978805542,13.2048978805542,0.0001,135.1490936279297,0.013514908961951733,0.0001,320.8698425292969,0.03208698332309723,1000.0,1.0736758667917456e-05,0.010736758820712566,1000.0,4.3709533770197595e-07,0.00043709532474167645,1.0,0.0,0.0,0.4,0.0017489653546363115,0.0006995861767791212,1000.0,0.001737306360155344,1.7373063564300537,49.6,8.513595093972981e-05,0.004222743213176727
60,14.933286666870117,1.0,13.229263305664062,13.229263305664062,0.0001,136.3551025390625,0.01363550964742899,0.0001,323.191162109375,0.03231911361217499,1000.0,1.5990710380719975e-05,0.015990709885954857,1000.0,4.5395009351523186e-07,0.00045395008055493236,1.0,0.0,0.0,0.6,0.0019037197344005108,0.0011422318639233708,1000.0,0.0016326394397765398,1.6326394081115723,69.4,0.00011301021004328504,0.00784290861338377
80,14.916831970214844,1.0,13.231555938720703,13.231555938720703,0.0001,136.98927307128906,0.013698927126824856,0.0001,323.9472351074219,0.03239472210407257,1000.0,1.7602365915081464e-05,0.01760236546397209,1000.0,4.5267080395205994e-07,0.00045267079258337617,1.0,0.0,0.0,0.8,0.0018634445732459426,0.0014907557051628828,1000.0,0.0016089155105873942,1.6089155673980713,89.2,0.0001201906634378247,0.01072100643068552
100,14.906949996948242,1.0,13.227621078491211,13.227621078491211,0.0001,137.1324462890625,0.01371324434876442,0.0001,324.2178955078125,0.032421790063381195,1000.0,1.6830183085403405e-05,0.016830183565616608,1000.0,4.7071395670172933e-07,0.0004707139451056719,1.0,0.0,0.0,1.0,0.001897412701509893,0.001897412701509893,1000.0,0.00160166434943676,1.6016643047332764,109.0,0.00011312634160276502,0.012330771423876286
120,14.906898498535156,1.0,13.23114013671875,13.23114013671875,0.0001,137.2660675048828,0.013726606033742428,0.0001,324.53790283203125,0.03245379030704498,1000.0,1.5786177755217068e-05,0.015786178410053253,1000.0,4.7058992436177505e-07,0.00047058993368409574,1.0,0.0,0.0,1.2,0.0019346779445186257,0.002321613719686866,1000.0,0.0015970357926562428,1.5970357656478882,128.8,0.00010841424955287948,0.01396375522017479
140,14.905096054077148,1.0,13.230445861816406,13.230445861816406,0.0001,137.30194091796875,0.013730193488299847,0.0001,324.6099853515625,0.03246099874377251,1000.0,1.5506027921219356e-05,0.015506028197705746,1000.0,4.984983661415754e-07,0.00049849838251248,1.0,0.0,0.0,1.4,0.0019315038807690144,0.0027041053399443626,1000.0,0.001593905151821673,1.5939052104949951,148.6,0.00010663307330105454,0.01584567502140999
160,14.908673286437988,1.0,13.23390007019043,13.23390007019043,0.0001,137.4229278564453,0.013742292299866676,0.0001,324.92120361328125,0.03249211981892586,1000.0,1.5146929399634246e-05,0.015146929770708084,1000.0,5.007116214983398e-07,0.0005007116124033928,1.0,0.0,0.0,1.6,0.0019313402008265257,0.00309014436788857,1000.0,0.001592068001627922,1.5920679569244385,168.4,0.00010530445433687419,0.017733270302414894
180,14.906744956970215,1.0,13.23201847076416,13.23201847076416,0.0001,137.60572814941406,0.013760572299361229,0.0001,325.42547607421875,0.03254254534840584,1000.0,1.4758756151422858e-05,0.014758756384253502,1000.0,4.976172931492329e-07,0.0004976172931492329,1.0,0.0,0.0,1.8,0.0019034413853660226,0.0034261944238096476,1000.0,0.0015902916202321649,1.5902916193008423,188.2,0.00010334367107134312,0.019449278712272644
200,14.916094779968262,1.0,13.239829063415527,13.239829063415527,0.0001,137.6133270263672,0.013761332258582115,0.0001,325.5106201171875,0.03255106136202812,1000.0,1.4470125279331114e-05,0.014470125548541546,1000.0,5.057168550592905e-07,0.0005057168309576809,1.0,0.0,0.0,2.0,0.0019217394292354584,0.0038434788584709167,1000.0,0.0015900151338428259,1.590015172958374,208.0,0.00010153454059036449,0.02111918479204178
