frame_idx,umbrella_reproj_mean_px,active_pairs,mean_reproj_px
0,0.7071039080619812,3085,0.7071039080619812
1,0.8834137916564941,2780,0.8834137916564941
2,1.157118558883667,2780,1.157118558883667
3,1.2561160326004028,2780,1.2561160326004028
4,1.3244194984436035,2778,1.3244194984436035
5,1.500394582748413,2762,1.500394582748413
6,1.6768003702163696,2747,1.6768003702163696
7,1.896978735923767,2734,1.896978735923767
8,2.0901479721069336,2729,2.0901479721069336
9,2.2665576934814453,2722,2.2665576934814453
10,2.4417290687561035,2716,2.4417290687561035
11,2.589754819869995,2696,2.589754819869995
12,2.731020212173462,2690,2.731020212173462
13,2.8541600704193115,2676,2.8541600704193115
14,2.9270269870758057,2662,2.9270269870758057
15,3.0001883506774902,2655,3.0001883506774902
16,3.0612800121307373,2646,3.0612800121307373
17,3.1407253742218018,2627,3.1407253742218018
18,3.173358917236328,2608,3.173358917236328
19,3.211129903793335,2588,3.211129903793335
20,3.2555859088897705,2564,3.2555859088897705
21,3.3001558780670166,2558,3.3001558780670166
22,3.3340086936950684,2556,3.3340086936950684
23,3.3694007396698,2560,3.3694007396698
24,3.4244742393493652,2566,3.4244742393493652
25,3.464585304260254,2561,3.464585304260254
26,3.519200086593628,2554,3.519200086593628
27,3.5509872436523438,2540,3.5509872436523438
28,3.523219347000122,2517,3.523219347000122
29,3.5119590759277344,2522,3.5119590759277344
30,3.540128231048584,2520,3.540128231048584
31,3.6094422340393066,2523,3.6094422340393066
32,3.684802532196045,2539,3.684802532196045
33,3.7321009635925293,2541,3.7321009635925293
34,3.7722971439361572,2552,3.7722971439361572
35,3.796238899230957,2552,3.796238899230957
36,3.8353006839752197,2550,3.8353006839752197
37,3.826425790786743,2546,3.826425790786743
38,3.802772283554077,2541,3.802772283554077
39,3.798375129699707,2544,3.798375129699707
40,3.798677682876587,2548,3.798677682876587
41,3.793447732925415,2540,3.793447732925415
42,3.789877414703369,2535,3.789877414703369
43,3.7796778678894043,2512,3.7796778678894043
44,3.7717537879943848,2494,3.7717537879943848
45,3.760831832885742,2478,3.760831832885742
46,3.7345118522644043,2474,3.7345118522644043
47,3.7391512393951416,2485,3.7391512393951416
48,3.7614822387695312,2478,3.7614822387695312
49,3.785524368286133,2484,3.785524368286133
50,3.7808568477630615,2474,3.7808568477630615
51,3.830533742904663,2457,3.830533742904663
52,3.9416677951812744,2441,3.9416677951812744
53,3.997518539428711,2446,3.997518539428711
54,4.027134895324707,2441,4.027134895324707
55,4.049333095550537,2449,4.049333095550537
56,4.084742546081543,2455,4.084742546081543
57,4.174083232879639,2466,4.174083232879639
58,4.2395219802856445,2475,4.2395219802856445
59,4.374708652496338,2424,4.374708652496338
60,4.4735493659973145,2414,4.4735493659973145
61,4.570503234863281,2395,4.570503234863281
62,4.551846504211426,2429,4.551846504211426
63,4.518637657165527,2462,4.518637657165527
64,4.576739311218262,2412,4.576739311218262
65,4.492848873138428,2426,4.492848873138428
66,4.472555637359619,2422,4.472555637359619
67,4.477592468261719,2386,4.477592468261719
68,4.516909122467041,2369,4.516909122467041
69,4.453173637390137,2371,4.453173637390137
70,4.4235944747924805,2382,4.4235944747924805
71,4.328993320465088,2416,4.328993320465088
72,4.329984664916992,2413,4.329984664916992
73,4.350409030914307,2391,4.350409030914307
74,4.376683235168457,2372,4.376683235168457
75,4.421026706695557,2390,4.421026706695557
76,4.516782283782959,2396,4.516782283782959
77,4.593461036682129,2413,4.593461036682129
78,4.688539981842041,2435,4.688539981842041
79,4.732536315917969,2412,4.732536315917969
80,4.830841541290283,2418,4.830841541290283
