frame_idx,num_active,sum_weight,reproj_mean_px,reproj_p50_px,reproj_p90_px,rotation_angle_deg,translation_magnitude,tx,ty,tz
0,2234,2234.0,0.7071015238761902,0.7071067690849304,0.7071499228477478,0.0,0.0,0.0,0.0,0.0
1,1644,1644.0,0.3533174395561218,0.35039064288139343,0.5754418969154358,3.580803725450759,0.13720160722732544,0.13479188084602356,-0.024588817730545998,0.007128870580345392
2,1637,1637.0,0.5437424182891846,0.534156858921051,0.8617158532142639,6.952345395771137,0.26301488280296326,0.25784409046173096,-0.04645974934101105,0.023124556988477707
3,1645,1645.0,0.6004726886749268,0.5830720067024231,1.008848786354065,9.684868441166874,0.37458336353302,0.3661121129989624,-0.06389567255973816,0.04681842774152756
4,1595,1595.0,0.6844520568847656,0.6186903715133667,1.2404305934906006,11.481835716510222,0.4619133770465851,0.45010483264923096,-0.07449562102556229,0.07224977016448975
5,1543,1543.0,0.6737110614776611,0.6228692531585693,1.164292812347412,12.855641183146368,0.5148829817771912,0.5009328722953796,-0.07760448008775711,0.09026803076267242
6,1541,1541.0,0.6574796438217163,0.6139941215515137,1.1214643716812134,12.902188922340006,0.5420674681663513,0.5271700620651245,-0.07340782880783081,0.10266534984111786
7,1622,1622.0,0.6974459290504456,0.6531990766525269,1.1941066980361938,12.19433629129021,0.5398732423782349,0.5255739688873291,-0.06295792013406754,0.106166772544384
8,1629,1629.0,0.6098019480705261,0.5607485771179199,1.0287045240402222,10.922757412187998,0.5043376684188843,0.4920181930065155,-0.046490442007780075,0.10056473314762115
9,1645,1645.0,0.538537323474884,0.504548192024231,0.896331787109375,8.984020169110925,0.44475361704826355,0.4339362680912018,-0.027150368317961693,0.09363742172718048
10,1645,1645.0,0.45744872093200684,0.4414496421813965,0.7555496096611023,6.758014561053226,0.3664838373661041,0.35535645484924316,-0.0037739230319857597,0.08954297751188278
11,1645,1645.0,0.4226960837841034,0.41684743762016296,0.6803754568099976,4.57953810499553,0.27862879633903503,0.26139962673187256,0.022618144750595093,0.09376921504735947
12,1645,1645.0,0.41502609848976135,0.40187326073646545,0.6759687662124634,3.3505339294241225,0.192904531955719,0.15028689801692963,0.051118042320013046,0.10960360616445541
13,1645,1645.0,0.3715183436870575,0.35667330026626587,0.62490314245224,5.065155590360151,0.1599360853433609,0.024308640509843826,0.0794418528676033,0.13666614890098572
14,1645,1645.0,0.37405285239219666,0.35658496618270874,0.6466650366783142,8.425760633715457,0.2302703559398651,-0.11090173572301865,0.10626573860645294,0.17155998945236206
15,1645,1645.0,0.4387109875679016,0.424926221370697,0.7417963743209839,12.451198361633233,0.3594920039176941,-0.25841835141181946,0.12905696034431458,0.2140064686536789
