View,Step0,Step49,Step99,Step149,Step199,Step249,Step299,Step349,Step399,Step449,Step499,Step549,Step599,Step649,Step699,Step749,Step799,Step849,Step899,Step949,Step999,Step1049,Step1099,Step1149,Step1199,Step1249,Step1299,Step1349,Step1399,Step1449,Step1499,Step1549,Step1599
000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6338,0.7278,0.7863,0.8214,0.8449,0.8621,0.8756,0.8864,0.8956,0.9034,0.9100,0.9153,0.9200,0.9239,0.9266,0.9281,0.9405,0.9426,0.9391,0.9373,0.9368,0.9381,0.9416,0.9460
001,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6037,0.6802,0.7298,0.7580,0.7706,0.7727,0.7671,0.7516,0.7264,0.6891,0.6354,0.5681,0.4884,0.3980,0.3080,0.2320,0.2087,0.2483,0.3865,0.5483,0.6730,0.7513,0.8008,0.8361
004,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6191,0.6969,0.7405,0.7650,0.7817,0.7955,0.8070,0.8211,0.8355,0.8495,0.8637,0.8759,0.8889,0.8996,0.9088,0.9171,0.9364,0.9341,0.9234,0.9064,0.8805,0.8406,0.7814,0.6884
005,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3356,0.2008,0.1198,0.0771,0.0538,0.0401,0.0314,0.0256,0.0214,0.0183,0.0159,0.0139,0.0124,0.0110,0.0099,0.0090,0.0083,0.0078,0.0075,0.0073,0.0069,0.0065,0.0062,0.0058
007,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3722,0.2349,0.1347,0.0787,0.0500,0.0350,0.0264,0.0209,0.0171,0.0144,0.0123,0.0107,0.0092,0.0080,0.0071,0.0063,0.0058,0.0056,0.0052,0.0048,0.0044,0.0039,0.0035,0.0031
009,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6175,0.7037,0.7607,0.7970,0.8206,0.8371,0.8499,0.8607,0.8697,0.8773,0.8838,0.8892,0.8919,0.8940,0.8960,0.8977,0.9113,0.9119,0.9171,0.9180,0.9156,0.9099,0.8980,0.8765
010,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5373,0.3590,0.1499,0.0678,0.0384,0.0253,0.0184,0.0141,0.0112,0.0092,0.0078,0.0067,0.0057,0.0050,0.0044,0.0039,0.0036,0.0034,0.0032,0.0030,0.0028,0.0026,0.0024,0.0022
012,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3475,0.1982,0.1100,0.0675,0.0461,0.0342,0.0267,0.0217,0.0181,0.0155,0.0134,0.0117,0.0104,0.0092,0.0083,0.0075,0.0070,0.0066,0.0063,0.0060,0.0057,0.0054,0.0051,0.0049
013,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.4008,0.2932,0.1999,0.1361,0.0982,0.0751,0.0599,0.0490,0.0412,0.0353,0.0306,0.0269,0.0239,0.0215,0.0193,0.0174,0.0164,0.0151,0.0140,0.0129,0.0123,0.0119,0.0116,0.0110
015,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3644,0.2384,0.1498,0.0977,0.0683,0.0510,0.0401,0.0328,0.0276,0.0236,0.0206,0.0181,0.0160,0.0143,0.0129,0.0116,0.0108,0.0105,0.0103,0.0101,0.0098,0.0094,0.0090,0.0084
