iter,stage,total,e_img,e_smooth_trans,e_smooth_rot,term_img,term_smooth_trans_weighted,term_smooth_rot_weighted,total_from_terms,e_img_raw,e_smooth_trans_raw,e_smooth_rot_raw,e_img_denom,e_smooth_trans_denom,e_smooth_rot_denom,active_pairs,sum_weight,mean_reproj_px,max_translation
20,adam,8.684179306030273,8.242209434509277,0.0009448992786929011,0.0019812406972050667,8.242209434509277,0.28346978360787034,0.15849925577640533,8.684178473893553,1535317.5,0.0009448992786929011,0.0019812406972050667,186275.0,1.0,1.0,186275,186275.0,2.6238198280334473,1.4580904245376587
40,adam,4.2318830490112305,3.925563335418701,0.0005773889715783298,0.0016637856606394053,3.925563335418701,0.17321669147349894,0.13310285285115242,4.2318828797433525,731234.3125,0.0005773889715783298,0.0016637856606394053,186275.0,1.0,1.0,186275,186275.0,1.6757140159606934,1.4511648416519165
60,adam,3.434682846069336,3.2067837715148926,0.0003708676667883992,0.001457983860746026,3.2067837715148926,0.11126030003651977,0.11663870885968208,3.4346827804110944,597343.625,0.0003708676667883992,0.001457983860746026,186275.0,1.0,1.0,186275,186275.0,1.4462603330612183,1.4459218978881836
80,adam,3.2710494995117188,3.0880017280578613,0.00024989250232465565,0.0013509980635717511,3.0880017280578613,0.0749677506973967,0.10807984508574009,3.271049323840998,575217.5,0.00024989250232465565,0.0013509980635717511,186275.0,1.0,1.0,186275,186275.0,1.4069759845733643,1.4411264657974243
100,adam,3.230304002761841,3.073697805404663,0.00017868506256490946,0.001287509105168283,3.073697805404663,0.05360551876947284,0.10300072841346264,3.2303040525875986,572553.0625,0.00017868506256490946,0.001287509105168283,186275.0,1.0,1.0,186275,186275.0,1.40061616897583,1.4366852045059204
120,adam,3.2044320106506348,3.0644233226776123,0.00013421532639767975,0.0012468011118471622,3.0644233226776123,0.040264597919303924,0.09974408894777298,3.204432009544689,570825.4375,0.00013421532639767975,0.0012468011118471622,186275.0,1.0,1.0,186275,186275.0,1.3975330591201782,1.4329911470413208
140,adam,3.1907830238342285,3.0618112087249756,0.00010543211828917265,0.001216779462993145,3.0618112087249756,0.031629635486751795,0.0973423570394516,3.190783201251179,570338.875,0.00010543211828917265,0.001216779462993145,186275.0,1.0,1.0,186275,186275.0,1.396735429763794,1.4299269914627075
160,adam,3.1812736988067627,3.0600104331970215,8.584695751778781e-05,0.0011938647367060184,3.0600104331970215,0.025754087255336344,0.09550917893648148,3.1812736993888393,570003.4375,8.584695751778781e-05,0.0011938647367060184,186275.0,1.0,1.0,186275,186275.0,1.3962230682373047,1.4273306131362915
180,adam,3.1805360317230225,3.0647711753845215,7.191704935394228e-05,0.0011773715959861875,3.0647711753845215,0.021575114806182683,0.094189727678895,3.180536017869599,570890.25,7.191704935394228e-05,0.0011773715959861875,186275.0,1.0,1.0,186275,186275.0,1.397615671157837,1.4251117706298828
200,adam,3.168976068496704,3.0575735569000244,6.162557838251814e-05,0.0011614341055974364,3.0575735569000244,0.018487673514755443,0.09291472844779491,3.1689759588625748,569549.5,6.162557838251814e-05,0.0011614341055974364,186275.0,1.0,1.0,186275,186275.0,1.3953429460525513,1.423187017440796
