interaction_name,clip_score,num_renders
interaction_02,0.2621928498148918,10
interaction_03,0.26258196383714677,10
interaction_04,0.2652397960424423,10
interaction_05,0.27214097380638125,10
interaction_06,0.30099956393241883,10
interaction_07,0.2616694733500481,10
interaction_08,0.2538273498415947,10
interaction_09,0.3212795555591583,1
interaction_10,0.24916140288114547,10
interaction_11,0.2561169728636742,10
interaction_14,0.2630300760269165,10
interaction_15,0.30868642032146454,10
interaction_16,0.2522878527641296,10
interaction_18,0.28172868490219116,10
interaction_20,0.28305000960826876,10
interaction_21,0.2625021442770958,10
interaction_22,0.27728666067123414,10
interaction_23,0.23353246301412584,10
interaction_24,0.29324608445167544,10
interaction_26,0.2761631429195404,10
interaction_27,0.2862920969724655,10
interaction_28,0.30340559780597687,10
interaction_30,0.2760402962565422,10
__mean__,0.27402006225741427,221
