iter,total,tracking_weight,tracking_raw,tracking_scaled,object_cd2d_weight,object_cd2d_raw,object_cd2d_scaled,object_part_cd2d_weight,object_part_cd2d_raw,object_part_cd2d_scaled,object_smooth_trans_weight,object_smooth_trans_raw,object_smooth_trans_scaled,object_smooth_rot_weight,object_smooth_rot_raw,object_smooth_rot_scaled,object_scale_weight,object_scale_raw,object_scale_scaled,intersect_weight,intersect_raw,intersect_scaled,nocontact_weight,nocontact_raw,nocontact_scaled,contact_drift_weight,contact_drift_raw,contact_drift_scaled
0,17.361278533935547,20.0,0.0,0.0,0.0001,22.761829376220703,0.002276182873174548,0.0001,253.80828857421875,0.025380827486515045,1000.0,5.44421573067666e-06,0.00544421561062336,1000.0,4.613694181898609e-05,0.04613694176077843,1.0,0.0,0.0,0.0,0.004372290335595608,0.0,1000.0,0.017281116917729378,17.281116485595703,10.0,9.2368594778236e-05,0.0009236859623342752
25,9.07564926147461,20.0,0.0002967646869365126,0.00593529362231493,0.0001,106.72100830078125,0.010672100819647312,0.0001,269.6399230957031,0.026963992044329643,1000.0,4.660461854655296e-06,0.004660462029278278,1000.0,4.7640489356126636e-05,0.04764048755168915,1.0,0.0,0.0,0.05,0.00428816070780158,0.00021440803539007902,1000.0,0.008978007361292839,8.978007316589355,14.95,0.00010405287321191281,0.0015555904246866703
50,5.602820873260498,20.0,0.0009188049589283764,0.018376098945736885,0.0001,208.0060272216797,0.020800601691007614,0.0001,347.2984924316406,0.03472984954714775,1000.0,3.829496563412249e-06,0.0038294964469969273,1000.0,4.033858567709103e-05,0.04033858701586723,1.0,0.0,0.0,0.1,0.0040082503110170364,0.00040082502528093755,1000.0,0.005482377950102091,5.482378005981445,19.9,9.885431063594297e-05,0.0019672007765620947
75,4.152126312255859,20.0,0.0015501738525927067,0.031003477051854134,0.0001,150.62217712402344,0.015062217600643635,0.0001,311.67938232421875,0.03116793744266033,1000.0,3.7137435811018804e-06,0.0037137435283511877,1000.0,3.377129542059265e-05,0.033771295100450516,1.0,0.0,0.0,0.15,0.003858123440295458,0.0005787185509689152,1000.0,0.004034913145005703,4.034913063049316,24.85,7.710634963586926e-05,0.0019160928204655647
100,3.9125709533691406,20.0,0.001962285954505205,0.039245717227458954,0.0001,127.87488555908203,0.012787488289177418,0.0001,299.5597839355469,0.029955977573990822,1000.0,2.9261384497658582e-06,0.002926138462498784,1000.0,3.233142342651263e-05,0.032331421971321106,1.0,0.0,0.0,0.2,0.003958629444241524,0.0007917258772067726,1000.0,0.0037926051300019026,3.79260516166687,29.8,6.467829371104017e-05,0.0019274130463600159
125,3.8704283237457275,20.0,0.0022373253013938665,0.044746506959199905,0.0001,129.05938720703125,0.012905938550829887,0.0001,301.2762756347656,0.030127625912427902,1000.0,2.639976628415752e-06,0.0026399765629321337,1000.0,3.454819670878351e-05,0.03454819694161415,1.0,0.0,0.0,0.25,0.003876396920531988,0.000969099230132997,1000.0,0.0037423931062221527,3.7423930168151855,34.75,6.0371421568561345e-05,0.0020979070104658604
150,3.8481783866882324,20.0,0.002522978698834777,0.05045957490801811,0.0001,129.50047302246094,0.012950046919286251,0.0001,301.76318359375,0.03017631731927395,1000.0,2.507014187358436e-06,0.002507014200091362,1000.0,3.3932006772374734e-05,0.03393200784921646,1.0,0.0,0.0,0.3,0.003857604693621397,0.0011572814546525478,1000.0,0.0037146846298128366,3.7146847248077393,39.7,5.822376988362521e-05,0.0023114837240427732
175,3.8323585987091064,20.0,0.00282101659104228,0.05642033368349075,0.0001,130.0419158935547,0.013004191219806671,0.0001,302.0660400390625,0.030206603929400444,1000.0,2.4731289158808067e-06,0.0024731289595365524,1000.0,3.509435191517696e-05,0.03509435057640076,1.0,0.0,0.0,0.35,0.003854313399642706,0.001349009689874947,1000.0,0.0036912683863192797,3.6912684440612793,44.65,5.694162973668426e-05,0.0025424438063055277
200,3.8201181888580322,20.0,0.003118751337751746,0.0623750276863575,0.0001,130.1764678955078,0.013017646037042141,0.0001,301.99383544921875,0.030199382454156876,1000.0,2.4377898171223933e-06,0.002437789924442768,1000.0,3.6309455026639625e-05,0.03630945459008217,1.0,0.0,0.0,0.4,0.0038484325632452965,0.0015393730718642473,1000.0,0.0036714584566652775,3.6714584827423096,49.6,5.606547347269952e-05,0.0027808474842458963
225,3.8103795051574707,20.0,0.0034033500123769045,0.06806699931621552,0.0001,131.2920379638672,0.013129203580319881,0.0001,302.64398193359375,0.030264398083090782,1000.0,2.4550047328375513e-06,0.0024550047237426043,1000.0,3.785148146562278e-05,0.037851482629776,1.0,0.0,0.0,0.45,0.0038497515488415956,0.0017323881620541215,1000.0,0.0036538727581501007,3.6538727283477783,54.55,5.5131662520579994e-05,0.0030074322130531073
