iter,total,mask_weight,mask_raw,mask_scaled,intersect_weight,intersect_raw,intersect_scaled,nocontact_weight,nocontact_raw,nocontact_scaled,floor_nocontact_weight,floor_nocontact_raw,floor_nocontact_scaled
1,30.68506622314453,500.0,1.72186173585942e-05,0.0086093086792971,0.0,0.0,0.0,500.0,0.05817495286464691,29.087476432323456,200.0,0.007584012113511562,1.5168024227023125
2,29.01677131652832,500.0,1.703952148091048e-05,0.00851976074045524,0.007503751875937969,0.0,0.0,500.0,0.05495142191648483,27.475710958242416,200.0,0.007302671205252409,1.4605342410504818
3,27.42739486694336,500.0,1.6929168850765564e-05,0.008464584425382782,0.015007503751875938,0.0,0.0,500.0,0.05186191201210022,25.93095600605011,200.0,0.0070269410498440266,1.4053882099688053
4,25.898252487182617,500.0,1.6869158571353182e-05,0.008434579285676591,0.022511255627813906,0.0,0.0,500.0,0.04890151694417,24.450758472085,200.0,0.006760491523891687,1.3520983047783375
5,24.4328556060791,500.0,1.694296588539146e-05,0.00847148294269573,0.030015007503751877,0.0,0.0,500.0,0.046066369861364365,23.033184930682182,200.0,0.006497025024145842,1.2994050048291683
6,23.030969619750977,500.0,1.715845246508252e-05,0.00857922623254126,0.03751875937968985,0.0,0.0,500.0,0.04335497319698334,21.67748659849167,200.0,0.006237803027033806,1.2475606054067612
7,21.690744400024414,500.0,1.7506212316220626e-05,0.008753106158110313,0.04502251125562781,0.0,0.0,500.0,0.04076382890343666,20.38191445171833,200.0,0.005985129624605179,1.1970259249210358
8,20.41241455078125,500.0,1.7900669263326563e-05,0.008950334631663281,0.05252626313156578,0.0,0.0,500.0,0.038289874792099,19.1449373960495,200.0,0.005738734733313322,1.1477469466626644
9,19.20210838317871,500.0,1.8335982531425543e-05,0.009167991265712772,0.060030015007503754,0.0,0.0,500.0,0.035930976271629333,17.965488135814667,200.0,0.005492387339472771,1.0984774678945541
10,18.080873489379883,500.0,1.8798486053128727e-05,0.009399243026564363,0.06753376688344172,0.0,0.0,500.0,0.03367961198091507,16.839805990457535,200.0,0.005249666050076485,1.049933210015297
11,17.00811195373535,500.0,1.9339822756592184e-05,0.009669911378296092,0.0750375187593797,0.0,0.0,500.0,0.03155985102057457,15.779925510287285,200.0,0.0050080944783985615,1.0016188956797123
12,15.969158172607422,500.0,1.9979786884505302e-05,0.00998989344225265,0.08254127063531766,0.0,0.0,500.0,0.029541699215769768,14.770849607884884,200.0,0.0047719404101371765,0.9543880820274353
13,14.971833229064941,500.0,2.069646870950237e-05,0.010348234354751185,0.09004502251125562,0.0,0.0,500.0,0.027623262256383896,13.811631128191948,200.0,0.004542623646557331,0.9085247293114662
14,14.017273902893066,500.0,2.1461415599333122e-05,0.010730707799666561,0.0975487743871936,0.0,0.0,500.0,0.02579980343580246,12.89990171790123,200.0,0.004320068284869194,0.8640136569738388
15,13.101852416992188,500.0,2.226664946647361e-05,0.011133324733236805,0.10505252626313157,0.0,0.0,500.0,0.024078907445073128,12.039453722536564,200.0,0.004110740497708321,0.8221480995416641
16,12.243539810180664,500.0,2.314213452336844e-05,0.01157106726168422,0.11255627813906953,0.0,0.0,500.0,0.02245810069143772,11.22905034571886,200.0,0.003914112225174904,0.7828224450349808
17,11.441247940063477,500.0,2.4071319785434753e-05,0.012035659892717376,0.12006003001500751,0.0,0.0,500.0,0.020924458280205727,10.462229140102863,200.0,0.0037206076085567474,0.7441215217113495
18,10.687684059143066,500.0,2.5034423742908984e-05,0.012517211871454492,0.12756378189094547,0.0,0.0,500.0,0.019473835825920105,9.736917912960052,200.0,0.003531671827659011,0.7063343655318022
19,9.971463203430176,500.0,2.6044977857964113e-05,0.013022488928982057,0.13506753376688344,0.0,0.0,500.0,0.018099945038557053,9.049972519278526,200.0,0.003350059036165476,0.6700118072330952
