frame_idx,prior_raw,prior_scaled,contact_raw,contact_scaled,dynamics_raw,dynamics_scaled,penetration_raw,penetration_scaled,smooth_raw,smooth_scaled,human_prior_raw,human_prior_scaled,human_smooth_raw,human_smooth_scaled,human_mask_2d_raw,human_mask_2d_scaled,object_mask_2d_raw,object_mask_2d_scaled,object_part_mask_2d_raw,object_part_mask_2d_scaled,total_raw_local,total_scaled_local
0,6.73787944833748e-05,0.0013475759187713265,0.00019958011398557574,0.0399160236120224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3373795051593333e-05,0.0026024277321994305,4.283161979401484e-05,0.005139794200658798,0.00035316430148668587,0.04900582134723663
1,3.261157326051034e-05,0.0006522314506582916,0.00018654685118235648,0.037309370934963226,1.5011052710178774e-05,0.0022516578901559114,1.5969539163052104e-05,0.0003193907905369997,0.0018284227699041367,0.02194107323884964,0.0,0.0,0.0,0.0,0.0,0.0,3.2552299671806395e-05,0.0019531380385160446,4.153692862018943e-05,0.004984431434422731,0.002152651082724333,0.06941129267215729
2,2.3356573365163058e-05,0.00046713146730326116,0.00019315390090923756,0.03863077983260155,1.40146858029766e-05,0.002102202968671918,0.0,0.0,0.0028242855332791805,0.03389142453670502,0.0,0.0,0.0,0.0,0.0,0.0,2.3375967430183664e-05,0.001402558060362935,2.654800482559949e-05,0.003185760695487261,0.0031047347001731396,0.07967986166477203
3,2.3075011995388195e-05,0.0004615002544596791,0.0001895966852316633,0.037919338792562485,1.518496446806239e-05,0.0022777447011321783,5.867488289368339e-05,0.0011734976433217525,0.0027636585291475058,0.033163901418447495,0.0,0.0,0.0,0.0,0.0,0.0,1.8600876501295716e-05,0.0011160526191815734,3.743974957615137e-05,0.0044927699491381645,0.0031062308698892593,0.08060479909181595
4,2.922094972745981e-05,0.0005844190018251538,0.00018880343122873455,0.03776068612933159,2.840107754309429e-06,0.00042601616587489843,5.524143489310518e-05,0.0011048286687582731,0.0017424486577510834,0.020909383893013,0.0,0.0,0.0,0.0,0.0,0.0,1.725359652482439e-05,0.001035215798765421,3.555599687388167e-05,0.004266719799488783,0.0020713643170893192,0.0660872682929039
5,3.29965514538344e-05,0.0006599310436286032,0.0001930041762534529,0.03860083594918251,5.225226686889073e-06,0.0007837840239517391,3.94804919778835e-05,0.0007896098541095853,0.0006638767663389444,0.007966521196067333,0.0,0.0,0.0,0.0,0.0,0.0,1.447129307052819e-05,0.0008682775660417974,3.714245758601464e-05,0.004457094706594944,0.0009861970320343971,0.05412605032324791
6,3.103306517004967e-05,0.0006206613034009933,0.00018828279280569404,0.03765655681490898,5.997175321681425e-06,0.0008995762909762561,6.103518535383046e-05,0.0012207037070766091,0.00024818803649395704,0.0029782564379274845,0.0,0.0,0.0,0.0,0.0,0.0,1.5671877918066457e-05,0.0009403126896359026,2.988344567711465e-05,0.0035860135685652494,0.000580091611482203,0.047902077436447144
7,2.5525530872982927e-05,0.0005105106392875314,0.00019243461429141462,0.03848692402243614,1.3166668395570014e-06,0.0001975000195670873,4.558032742352225e-05,0.0009116065339185297,0.0010581545066088438,0.012697854079306126,0.0,0.0,0.0,0.0,0.0,0.0,1.8176895537180826e-05,0.0010906137758865952,4.081110091647133e-05,0.004897332284599543,0.0013819996966049075,0.058792341500520706
8,1.605955185368657e-05,0.0003211910370737314,0.000190768827451393,0.038153763860464096,1.1727826176866074e-06,0.00017591739015188068,1.104132752516307e-05,0.0002208265505032614,0.0027674634475260973,0.03320956230163574,0.0,0.0,0.0,0.0,0.0,0.0,1.843294558057096e-05,0.0011059767566621304,4.235683081788011e-05,0.005082819610834122,0.0030472956132143736,0.0782700628042221
9,6.0717161431966815e-06,0.00012143432104494423,0.00018439893028698862,0.03687978535890579,4.873220404988388e-06,0.00073098303982988,0.0,0.0,0.004714274313300848,0.05657128989696503,0.0,0.0,0.0,0.0,0.0,0.0,1.9214003259548917e-05,0.0011528402101248503,3.8802238123025745e-05,0.004656268749386072,0.004967634566128254,0.10011260211467743
10,1.219919795403257e-06,2.439839590806514e-05,0.00017670485249254853,0.03534097224473953,1.7500308331364067e-06,0.00026250461814925075,9.411249266122468e-06,0.00018822497804649174,0.006251977756619453,0.07502373307943344,0.0,0.0,0.0,0.0,0.0,0.0,1.984831760637462e-05,0.0011908990563824773,4.112607712158933e-05,0.004935129079967737,0.006502038333564997,0.11696586012840271
