frame_idx,harp_reproj_mean_px,4_legged_stool_reproj_mean_px,active_pairs,mean_reproj_px
0,0.7070956230163574,0.707103967666626,6118,0.7070997953414917
1,0.42682111263275146,0.22998136281967163,5131,0.32840123772621155
2,0.508446455001831,0.30335527658462524,5127,0.40590086579322815
3,0.5735675096511841,0.31375715136528015,5131,0.4436623454093933
4,0.5950543284416199,0.33705222606658936,5130,0.4660532772541046
5,0.6590704917907715,0.343544602394104,5126,0.5013075470924377
6,0.6274038553237915,0.3690803647041321,5128,0.4982421100139618
7,0.6877553462982178,0.39184731245040894,5128,0.5398013591766357
8,0.6192693114280701,0.37926825881004333,5128,0.4992687702178955
9,0.6246604323387146,0.40080270171165466,5128,0.5127315521240234
10,0.65057373046875,0.41047462821006775,5128,0.5305241942405701
11,0.6556911468505859,0.4363715648651123,5129,0.5460313558578491
12,0.6729255318641663,0.45862048864364624,5129,0.5657730102539062
13,0.7086069583892822,0.4509103000164032,5129,0.5797586441040039
14,0.7361012697219849,0.49614667892456055,5129,0.6161239743232727
15,0.6841906905174255,0.47664394974708557,5128,0.5804173350334167
16,0.7817251682281494,0.4722895920276642,5128,0.6270073652267456
17,0.694290041923523,0.477920800447464,5130,0.5861054062843323
18,0.7198508381843567,0.4855665862560272,5129,0.6027086973190308
19,0.7340900897979736,0.4890379309654236,5129,0.611564040184021
20,0.8256722688674927,0.4854046702384949,5127,0.6555384397506714
21,0.7956699728965759,0.4728361964225769,5129,0.6342530846595764
22,0.8159462809562683,0.4837085008621216,5127,0.6498273611068726
23,0.81979900598526,0.4693112373352051,5128,0.6445550918579102
24,0.841998815536499,0.4734933078289032,5128,0.6577460765838623
25,0.8300555348396301,0.47812893986701965,5121,0.6540922522544861
26,0.8339117169380188,0.4838108718395233,5110,0.6588612794876099
27,0.8936928510665894,0.49793723225593567,5126,0.6958150267601013
28,0.8432518839836121,0.5471823811531067,5129,0.6952171325683594
29,0.8786213397979736,0.4914570152759552,5129,0.6850391626358032
30,0.8725315928459167,0.5118275284767151,5129,0.6921795606613159
31,0.8784686326980591,0.5082622766494751,5129,0.6933654546737671
32,0.859460175037384,0.5305909514427185,5128,0.6950255632400513
33,0.8321598768234253,0.5197080969810486,5120,0.6759339570999146
34,0.8647071123123169,0.5181145668029785,5123,0.6914108395576477
35,0.9194879531860352,0.5155838131904602,5128,0.7175358533859253
36,0.9610976576805115,0.5130106210708618,5124,0.7370541095733643
37,0.9935435056686401,0.5240106582641602,5126,0.7587770819664001
38,1.0008716583251953,0.49910643696784973,5126,0.7499890327453613
39,1.0227689743041992,0.48668214678764343,5128,0.7547255754470825
40,1.0299675464630127,0.4791792035102844,5123,0.7545733451843262
41,1.1057450771331787,0.4728807508945465,5121,0.7893128991127014
42,1.0953232049942017,0.47349825501441956,5127,0.7844107151031494
43,1.1382737159729004,0.459116131067276,5127,0.798694908618927
44,1.1566863059997559,0.4691191613674164,5126,0.8129027485847473
45,1.1392874717712402,0.46671485900878906,5124,0.8030011653900146
46,1.146088719367981,0.484854519367218,5126,0.8154716491699219
47,1.1234636306762695,0.5011914968490601,5124,0.8123275637626648
48,1.095487356185913,0.48305732011795044,5125,0.7892723083496094
49,1.067010521888733,0.5242241621017456,5131,0.7956173419952393
50,1.0181682109832764,0.49394869804382324,5126,0.7560584545135498
51,1.0053901672363281,0.4916858971118927,5122,0.7485380172729492
52,0.9841324687004089,0.5271701812744141,5123,0.7556513547897339
53,0.9647814631462097,0.5086830854415894,5123,0.7367322444915771
54,0.9132695198059082,0.5229542255401611,5124,0.7181118726730347
55,0.8981775641441345,0.4879867434501648,5127,0.6930821537971497
56,0.8590234518051147,0.4924837350845337,5127,0.6757535934448242
57,0.8295063972473145,0.5000866055488586,5125,0.6647964715957642
58,0.8020244240760803,0.5132575035095215,5123,0.6576409339904785
59,0.7619571685791016,0.4972265064716339,5127,0.6295918226242065
60,0.7911661863327026,0.5321153998374939,5128,0.6616407632827759
61,0.7967376708984375,0.4827369451522827,5128,0.6397373080253601
62,0.8083983659744263,0.5126822590827942,5130,0.6605403423309326
63,0.7566713094711304,0.49447256326675415,5131,0.6255719661712646
64,0.7626249194145203,0.4935060739517212,5123,0.6280654668807983
65,0.8314449787139893,0.49930647015571594,5130,0.6653757095336914
66,0.8141340613365173,0.49693265557289124,5129,0.6555333733558655
67,0.8365973234176636,0.5071536898612976,5129,0.6718754768371582
68,0.7876468896865845,0.5050279498100281,5130,0.6463373899459839
69,0.8012778759002686,0.520372211933136,5130,0.6608250141143799
70,0.7560375332832336,0.5268722176551819,5131,0.6414548754692078
71,0.8113563656806946,0.5317057967185974,5130,0.671531081199646
72,0.8153769969940186,0.521622896194458,5129,0.6684999465942383
73,0.8509640097618103,0.5245367884635925,5125,0.6877503991127014
74,0.8185643553733826,0.5296512246131897,5125,0.6741077899932861
75,0.8132199048995972,0.5161119699478149,5126,0.664665937423706
76,0.8370729088783264,0.528721809387207,5131,0.6828973293304443
77,0.865134060382843,0.5279101133346558,5125,0.6965221166610718
78,0.884349524974823,0.5340773463249207,5121,0.7092134356498718
79,0.9914897680282593,0.5075905323028564,5125,0.7495401501655579
80,1.0167826414108276,0.5071325898170471,5129,0.7619576454162598
