interaction_name,clip_score,num_renders
interaction_02,0.24049292653799056,10
interaction_03,0.25812762081623075,10
interaction_04,0.256254842877388,10
interaction_05,0.2527978092432022,10
interaction_06,0.28376067876815797,10
interaction_07,0.25177140831947326,10
interaction_08,0.25797069668769834,10
interaction_09,0.22625678777694702,1
interaction_10,0.21877259463071824,10
interaction_11,0.23599650859832763,10
interaction_14,0.23102986961603164,10
interaction_15,0.2743975564837456,10
interaction_16,0.24041274487972258,10
interaction_18,0.2722820699214935,10
interaction_20,0.2606810986995697,10
interaction_21,0.23541205674409865,10
interaction_22,0.24335640370845796,10
interaction_23,0.23360885232686995,10
interaction_24,0.2809495210647583,10
interaction_26,0.28267026096582415,10
interaction_27,0.2998699754476547,10
interaction_28,0.3292515754699707,10
interaction_30,0.2906237065792084,10
__mean__,0.25898902461580603,221
