View,Step0,Step49,Step99,Step149,Step199,Step249,Step299,Step349,Step399,Step449,Step499,Step549,Step599,Step649,Step699,Step749,Step799,Step849,Step899,Step949,Step999,Step1049,Step1099,Step1149,Step1199,Step1249,Step1299,Step1349,Step1399,Step1449,Step1499,Step1549,Step1599
001,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5604,0.5659,0.5602,0.5901,0.6389,0.7103,0.7576,0.8071,0.8316,0.8262,0.8554,0.8705,0.8752,0.8712,0.8938,0.8949,0.9033,0.9096,0.9095,0.9219,0.9260,0.9370,0.9444,0.9495
002,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.4505,0.3317,0.2249,0.1666,0.1321,0.1132,0.0842,0.0725,0.0667,0.0523,0.0458,0.0392,0.0333,0.0280,0.0308,0.0286,0.0291,0.0302,0.0281,0.0294,0.0272,0.0304,0.0332,0.0349
003,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5134,0.4223,0.2286,0.0967,0.0477,0.0285,0.0197,0.0142,0.0108,0.0086,0.0070,0.0058,0.0049,0.0042,0.0039,0.0034,0.0031,0.0028,0.0026,0.0027,0.0024,0.0021,0.0020,0.0018
004,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6090,0.6954,0.7621,0.8131,0.8495,0.8743,0.8909,0.9033,0.9118,0.9156,0.9201,0.9234,0.9258,0.9270,0.9388,0.9398,0.9443,0.9473,0.9468,0.9492,0.9457,0.9485,0.9508,0.9523
005,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3606,0.2191,0.1255,0.0715,0.0426,0.0277,0.0198,0.0145,0.0110,0.0088,0.0072,0.0059,0.0050,0.0042,0.0039,0.0033,0.0030,0.0027,0.0024,0.0024,0.0022,0.0021,0.0020,0.0018
006,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6159,0.7025,0.7650,0.8077,0.8319,0.8414,0.8403,0.8243,0.7912,0.7454,0.6469,0.4916,0.3161,0.1874,0.1639,0.1375,0.1250,0.1140,0.1020,0.1094,0.0913,0.0811,0.0725,0.0647
007,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5825,0.5688,0.3849,0.1557,0.0682,0.0379,0.0252,0.0176,0.0130,0.0104,0.0084,0.0069,0.0058,0.0049,0.0044,0.0038,0.0035,0.0031,0.0029,0.0029,0.0025,0.0023,0.0020,0.0019
009,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3556,0.2279,0.1391,0.0828,0.0514,0.0342,0.0244,0.0182,0.0141,0.0115,0.0094,0.0079,0.0067,0.0057,0.0051,0.0045,0.0041,0.0037,0.0033,0.0031,0.0028,0.0026,0.0023,0.0022
010,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6172,0.7042,0.7712,0.8258,0.8636,0.8907,0.9095,0.9232,0.9336,0.9430,0.9489,0.9537,0.9577,0.9612,0.9689,0.9699,0.9728,0.9745,0.9746,0.9779,0.9781,0.9801,0.9816,0.9827
012,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5563,0.5515,0.4509,0.2457,0.1123,0.0595,0.0371,0.0249,0.0180,0.0142,0.0113,0.0092,0.0076,0.0064,0.0057,0.0049,0.0044,0.0040,0.0036,0.0035,0.0031,0.0027,0.0025,0.0022
013,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3873,0.2839,0.1994,0.1355,0.0929,0.0667,0.0506,0.0395,0.0318,0.0263,0.0220,0.0188,0.0162,0.0141,0.0127,0.0113,0.0102,0.0093,0.0085,0.0084,0.0077,0.0070,0.0065,0.0060
014,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5906,0.6591,0.7020,0.7084,0.6602,0.5265,0.3441,0.1861,0.1069,0.0710,0.0496,0.0370,0.0286,0.0226,0.0198,0.0165,0.0145,0.0127,0.0111,0.0105,0.0090,0.0079,0.0071,0.0064
015,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3784,0.2690,0.1838,0.1221,0.0822,0.0581,0.0434,0.0334,0.0266,0.0219,0.0183,0.0155,0.0133,0.0115,0.0103,0.0091,0.0082,0.0074,0.0067,0.0066,0.0060,0.0056,0.0052,0.0049
