iter,stage,total,root_orient_gvhmr_weight,root_orient_gvhmr_raw,root_orient_gvhmr_scaled,pose_gvhmr_weight,pose_gvhmr_raw,pose_gvhmr_scaled,height_prior_weight,height_prior_raw,height_prior_scaled,scene_intersect_weight,scene_intersect_raw,scene_intersect_scaled,human_scene_depth_weight,human_scene_depth_raw,human_scene_depth_scaled,nocontact_weight,nocontact_raw,nocontact_scaled,self_intersect_weight,self_intersect_raw,self_intersect_scaled,scene_intersect_num_scene_collision_points,scene_intersect_num_sdf_query_points,scene_intersect_num_inside_or_margin_points,human_scene_depth_num_human_vertices,human_scene_depth_num_projected_vertices,human_scene_depth_num_behind_scene_vertices
1,rigid,44.58366394042969,20.0,5.227300250741976e-16,1.0454600501483952e-14,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.020301245152950287,0.0,0.0,0.1150997057557106,0.0,800.0,0.05572957918047905,44.58366334438324,0.0,0.0,0.0,700000,700000,2581,10475,10425,1768
2,rigid,44.265071868896484,20.0,1.728255824673397e-06,3.456511649346794e-05,50.0,0.0,0.0,1.0,2.49834272381122e-07,2.49834272381122e-07,0.0050025012506253125,0.020212536677718163,0.0001011132400085951,0.0050025012506253125,0.11562414467334747,0.0005784099283309028,800.0,0.05533044785261154,44.26435828208923,0.0,0.0,0.0,700000,700000,2581,10475,10423,1781
3,rigid,43.95073699951172,20.0,6.906037015141919e-06,0.00013812074030283839,50.0,0.0,0.0,1.0,1.0040341749117943e-06,1.0040341749117943e-06,0.010005002501250625,0.0211427453905344,0.00021153322051560181,0.010005002501250625,0.11623415350914001,0.001162922996589695,800.0,0.05493652820587158,43.949222564697266,0.0,0.0,0.0,700000,700000,2602,10475,10426,1792
4,rigid,43.64059829711914,20.0,1.5526264178333804e-05,0.0003105252835666761,50.0,0.0,0.0,1.0,2.2555516352440463e-06,2.2555516352440463e-06,0.015007503751875938,0.021078217774629593,0.0003163314323356117,0.015007503751875938,0.11689921468496323,0.0017543654029759364,800.0,0.05454776808619499,43.638214468955994,0.0,0.0,0.0,700000,700000,2657,10475,10428,1803
5,rigid,43.33401870727539,20.0,2.757934998953715e-05,0.000551586999790743,50.0,0.0,0.0,1.0,3.997348358097952e-06,3.997348358097952e-06,0.02001000500250125,0.02107434906065464,0.00042169783012815687,0.02001000500250125,0.11737371236085892,0.0023486485715029297,800.0,0.0541633665561676,43.33069324493408,0.0,0.0,0.0,700000,700000,2708,10475,10429,1818
6,rigid,43.03091812133789,20.0,4.305627226131037e-05,0.0008611254452262074,50.0,0.0,0.0,1.0,6.245856184250442e-06,6.245856184250442e-06,0.02501250625312656,0.02160058543086052,0.0005402847781605933,0.02501250625312656,0.1183474138379097,0.002960165428662073,800.0,0.05378318950533867,43.026551604270935,0.0,0.0,0.0,700000,700000,2691,10475,10427,1825
7,rigid,42.73226547241211,20.0,6.194536399561912e-05,0.0012389072799123824,50.0,0.0,0.0,1.0,8.994033123599365e-06,8.994033123599365e-06,0.030015007503751877,0.02208680473268032,0.0006629356097853022,0.030015007503751877,0.11923334747552872,0.0035787898191754495,800.0,0.05340847000479698,42.726776003837585,0.0,0.0,0.0,700000,700000,2715,10475,10429,1833
8,rigid,42.43830871582031,20.0,8.423696272075176e-05,0.0016847392544150352,50.0,0.0,0.0,1.0,1.225830419571139e-05,1.225830419571139e-05,0.03501750875437719,0.021969325840473175,0.0007693110599465343,0.03501750875437719,0.12021007388830185,0.004209457314747938,800.0,0.0530395433306694,42.43163466453552,0.0,0.0,0.0,700000,700000,2802,10475,10428,1839
9,rigid,42.148582458496094,20.0,0.00010991351155098528,0.0021982702310197055,50.0,0.0,0.0,1.0,1.60081654030364e-05,1.60081654030364e-05,0.0400200100050025,0.021808473393321037,0.0008727753233945387,0.0400200100050025,0.1212114691734314,0.004850884209041777,800.0,0.05267580598592758,42.140644788742065,0.0,0.0,0.0,700000,700000,2830,10475,10432,1846
10,rigid,41.86372756958008,20.0,0.00013895760639570653,0.0027791521279141307,50.0,0.0,0.0,1.0,2.029996358032804e-05,2.029996358032804e-05,0.04502251125562781,0.02257767878472805,0.0010165037972113679,0.04502251125562781,0.12180149555206299,0.0054838092044450564,800.0,0.0523180328309536,41.85442626476288,0.0,0.0,0.0,700000,700000,2778,10475,10433,1859
