View,Step0,Step49,Step99,Step149,Step199,Step249,Step299,Step349,Step399,Step449,Step499,Step549,Step599,Step649,Step699,Step749,Step799,Step849,Step899,Step949,Step999,Step1049,Step1099,Step1149,Step1199,Step1249,Step1299,Step1349,Step1399,Step1449,Step1499,Step1549,Step1599
001,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3352,0.1821,0.0995,0.0605,0.0409,0.0300,0.0231,0.0186,0.0152,0.0125,0.0104,0.0088,0.0075,0.0066,0.0067,0.0061,0.0056,0.0055,0.0053,0.0056,0.0056,0.0057,0.0058,0.0058
002,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3641,0.2274,0.1339,0.0821,0.0545,0.0389,0.0294,0.0231,0.0185,0.0150,0.0124,0.0105,0.0089,0.0078,0.0075,0.0068,0.0063,0.0061,0.0059,0.0061,0.0061,0.0062,0.0061,0.0060
003,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6088,0.6890,0.7441,0.7822,0.8092,0.8294,0.8453,0.8581,0.8685,0.8786,0.8873,0.8963,0.9051,0.9130,0.9318,0.9327,0.9332,0.9341,0.9358,0.9450,0.9466,0.9447,0.9440,0.9434
004,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6187,0.7079,0.7634,0.7929,0.8065,0.8103,0.8072,0.7990,0.7966,0.7875,0.7763,0.7430,0.6929,0.5685,0.5733,0.5543,0.5233,0.4948,0.4969,0.5349,0.5408,0.5547,0.5875,0.6142
005,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.4970,0.3759,0.2002,0.1017,0.0601,0.0404,0.0296,0.0230,0.0189,0.0158,0.0136,0.0116,0.0100,0.0085,0.0082,0.0073,0.0064,0.0058,0.0055,0.0055,0.0053,0.0051,0.0054,0.0056
006,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6139,0.6897,0.7336,0.7568,0.7686,0.7746,0.7776,0.7785,0.7696,0.7532,0.7241,0.6883,0.6310,0.5720,0.6080,0.6031,0.5978,0.5939,0.5764,0.6034,0.6040,0.6054,0.6057,0.6032
007,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.4250,0.3235,0.2201,0.1436,0.0976,0.0708,0.0544,0.0436,0.0357,0.0302,0.0261,0.0228,0.0199,0.0175,0.0177,0.0158,0.0141,0.0122,0.0106,0.0101,0.0092,0.0082,0.0079,0.0076
008,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3224,0.1782,0.1012,0.0632,0.0433,0.0318,0.0247,0.0199,0.0163,0.0137,0.0118,0.0103,0.0091,0.0081,0.0078,0.0071,0.0065,0.0061,0.0058,0.0059,0.0057,0.0053,0.0050,0.0049
009,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6379,0.7338,0.7946,0.8328,0.8579,0.8758,0.8893,0.8999,0.9069,0.9138,0.9203,0.9279,0.9347,0.9428,0.9569,0.9583,0.9599,0.9607,0.9602,0.9649,0.9656,0.9651,0.9626,0.9601
010,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3770,0.2635,0.1773,0.1206,0.0859,0.0644,0.0505,0.0409,0.0341,0.0289,0.0249,0.0217,0.0191,0.0168,0.0158,0.0143,0.0130,0.0121,0.0114,0.0111,0.0106,0.0104,0.0101,0.0098
