iter,total,corr,reproj,scale_reg,t_reg,scale,tx,ty,tz
55,0.03090505,0.02311170,7.68844986,0.05587224,0.04903087,1.26664686,0.00593642,-0.00223054,0.22133833
56,0.02905381,0.02113782,7.80871058,0.05723147,0.05004169,1.27027190,0.00591712,-0.00215771,0.22361131
57,0.02732865,0.01930632,7.91273165,0.05857229,0.05102664,1.27381599,0.00595650,-0.00214204,0.22580206
58,0.02571704,0.01761020,7.99495792,0.05989336,0.05198473,1.27727795,0.00605336,-0.00218605,0.22791076
59,0.02422027,0.01604258,8.06357765,0.06119339,0.05291523,1.28065670,0.00619467,-0.00228005,0.22993839
60,0.02284508,0.01459665,8.13213730,0.06247115,0.05381759,1.28395128,0.00635927,-0.00240512,0.23188654
61,0.02159306,0.01326562,8.20903206,0.06372549,0.05469136,1.28716111,0.00652279,-0.00253772,0.23375708
62,0.02045585,0.01204293,8.29242516,0.06495536,0.05553614,1.29028535,0.00666282,-0.00265471,0.23555191
63,0.01941824,0.01092215,8.37357426,0.06615975,0.05635154,1.29332364,0.00676322,-0.00273798,0.23727262
64,0.01846596,0.00989705,8.44443417,0.06733776,0.05713712,1.29627550,0.00681688,-0.00277761,0.23892036
65,0.01759133,0.00896157,8.50337505,0.06848856,0.05789250,1.29914093,0.00682631,-0.00277314,0.24049576
66,0.01679349,0.00811010,8.55516052,0.06961140,0.05861724,1.30191946,0.00680235,-0.00273284,0.24199897
67,0.01607335,0.00733699,8.60634613,0.07070561,0.05931097,1.30461144,0.00676122,-0.00267130,0.24342991
68,0.01542885,0.00663692,8.66018486,0.07177062,0.05997333,1.30721688,0.00672079,-0.00260593,0.24478842
69,0.01485293,0.00600468,8.71483612,0.07280590,0.06060403,1.30973613,0.00669679,-0.00255322,0.24607451
70,0.01433595,0.00543528,8.76565456,0.07381109,0.06120291,1.31216955,0.00669981,-0.00252549,0.24728858
71,0.01386956,0.00492382,8.80918217,0.07478584,0.06176995,1.31451786,0.00673358,-0.00252873,0.24843152
72,0.01344923,0.00446574,8.84544945,0.07572988,0.06230531,1.31678164,0.00679477,-0.00256194,0.24950467
73,0.01307354,0.00405663,8.87745667,0.07664309,0.06280929,1.31896186,0.00687434,-0.00261795,0.25050983
74,0.01274164,0.00369235,8.90847397,0.07752538,0.06328227,1.32105923,0.00695986,-0.00268538,0.25144905
75,0.01245071,0.00336897,8.93963623,0.07837676,0.06372477,1.32307494,0.00703838,-0.00275138,0.25232452
76,0.01219572,0.00308281,8.96957493,0.07919728,0.06413727,1.32501006,0.00709918,-0.00280436,0.25313830
77,0.01197081,0.00283037,8.99593258,0.07998713,0.06452026,1.32686615,0.00713581,-0.00283634,0.25389230
78,0.01177146,0.00260844,9.01740456,0.08074651,0.06487428,1.32864451,0.00714712,-0.00284422,0.25458813
79,0.01159525,0.00241405,9.03453064,0.08147572,0.06519980,1.33034658,0.00713700,-0.00283009,0.25522706
80,0.01144114,0.00224442,9.04904366,0.08217513,0.06549732,1.33197403,0.00711319,-0.00280032,0.25581023
81,0.01130801,0.00209701,9.06238365,0.08284514,0.06576733,1.33352828,0.00708534,-0.00276389,0.25633863
82,0.01119364,0.00196940,9.07474232,0.08348624,0.06601039,1.33501148,0.00706276,-0.00273025,0.25681326
83,0.01109489,0.00185944,9.08512592,0.08409896,0.06622708,1.33642507,0.00705254,-0.00270734,0.25723532
84,0.01100862,0.00176505,9.09246254,0.08468389,0.06641807,1.33777130,0.00705820,-0.00270000,0.25760621
85,0.01093270,0.00168442,9.09645176,0.08524163,0.06658410,1.33905172,0.00707923,-0.00270922,0.25792760
86,0.01086609,0.00161585,9.09774494,0.08577289,0.06672600,1.34026873,0.00711158,-0.00273225,0.25820139
87,0.01080829,0.00155781,9.09735775,0.08627839,0.06684460,1.34142411,0.00714881,-0.00276349,0.25842962
88,0.01075850,0.00150894,9.09586143,0.08675884,0.06694084,1.34252012,0.00718371,-0.00279597,0.25861442
89,0.01071531,0.00146799,9.09309196,0.08721505,0.06701559,1.34355891,0.00720995,-0.00282295,0.25875786
90,0.01067708,0.00143387,9.08849335,0.08764780,0.06706970,1.34454238,0.00722339,-0.00283937,0.25886187
91,0.01064240,0.00140560,9.08163929,0.08805794,0.06710407,1.34547293,0.00722283,-0.00284283,0.25892821
92,0.01061055,0.00138232,9.07266235,0.08844628,0.06711948,1.34635270,0.00721004,-0.00283389,0.25895843
93,0.01058125,0.00136327,9.06205082,0.08881372,0.06711674,1.34718382,0.00718913,-0.00281571,0.25895390
94,0.01055436,0.00134779,9.05031204,0.08916111,0.06709660,1.34796846,0.00716545,-0.00279315,0.25891593
95,0.01052942,0.00133530,9.03757191,0.08948934,0.06705986,1.34870887,0.00714429,-0.00277152,0.25884578
96,0.01050572,0.00132529,9.02362061,0.08979928,0.06700726,1.34940720,0.00712974,-0.00275541,0.25874472
97,0.01048258,0.00131733,9.00821400,0.09009182,0.06693958,1.35006535,0.00712383,-0.00274769,0.25861415
98,0.01045956,0.00131103,8.99129772,0.09036782,0.06685764,1.35068572,0.00712628,-0.00274902,0.25845560
