iter,total,prior_raw,prior_scaled,contact_raw,contact_scaled,dynamics_raw,dynamics_scaled,penetration_raw,penetration_scaled,smooth_raw,smooth_scaled,human_prior_raw,human_prior_scaled,human_smooth_raw,human_smooth_scaled,human_mask_2d_raw,human_mask_2d_scaled,object_mask_2d_raw,object_mask_2d_scaled,object_part_mask_2d_raw,object_part_mask_2d_scaled,object_scale_reg_raw,object_scale_reg_scaled,time_contact_s,time_dynamics_s,time_penetration_s,time_mask2d_s,time_backward_s,time_total_iter_s
0,13.276440620422363,0.0,0.0,0.06626936793327332,13.253873825073242,5.131701618665829e-05,0.007697552442550659,0.0,0.0,0.0009434812236577272,0.014152218587696552,0.0,0.0,0.0,0.0,1.552644243929535e-05,0.0006210576975718141,1.608188426871493e-06,9.649130515754223e-05,0.0,0.0,0.0,0.0,0.04063800722360611,0.002158723771572113,0.1684088297188282,0.0654820166528225,1.1417011767625809,2.2014603205025196
25,1.9612109661102295,0.0003722415422089398,0.007444830611348152,0.009174692444503307,1.8349385261535645,0.00030403112759813666,0.04560466855764389,9.879009667201899e-06,0.0001975802006199956,0.0010855954606086016,0.016283931210637093,0.00047675560927018523,0.04767556115984917,8.348277333425358e-05,0.0025044830981642008,1.8949935110867955e-05,0.000757997389882803,8.113859803415835e-05,0.004868315998464823,0.0,0.0,3.1167015549726784e-05,0.000935010495595634,0.008689813315868378,0.0015873424708843231,0.15377730131149292,0.0118095763027668,0.9946930110454559,1.7787986136972904
50,0.5678820610046387,0.0010610765311866999,0.021221529692411423,0.0015820676926523447,0.316413551568985,0.00033762044040486217,0.05064306780695915,2.735440466494765e-05,0.0005470881005749106,0.0010916469618678093,0.016374703496694565,0.0014873369364067912,0.1487336903810501,6.956286961212754e-05,0.002086886204779148,2.39992696151603e-05,0.0009599707555025816,0.00012214518210384995,0.007328710984438658,0.0,0.0,0.00011909683962585405,0.0035729052033275366,0.008444070816040039,0.0015972703695297241,0.14974486455321312,0.01177557185292244,0.9835489019751549,1.7637352459132671
75,0.46986904740333557,0.0012325086863711476,0.024650173261761665,0.0013269215123727918,0.265384316444397,0.0003015080001205206,0.04522620141506195,3.709913289640099e-05,0.0007419826579280198,0.000926478358451277,0.013897174969315529,0.0010890592820942402,0.10890592634677887,4.758955765282735e-05,0.0014276867732405663,1.720221189316362e-05,0.0006880884757265449,7.05132115399465e-05,0.004230792634189129,0.0,0.0,0.00015722340322099626,0.0047167022712528706,0.008674845099449158,0.0016099102795124054,0.1539762057363987,0.011714555323123932,0.9940021224319935,1.7729320153594017
100,0.44094693660736084,0.0013137279311195016,0.026274558156728745,0.0013101660879328847,0.26203322410583496,0.00030701415380463004,0.046052124351263046,4.72284373245202e-05,0.0009445687755942345,0.0008891791221685708,0.013337686657905579,0.0008098373655229807,0.0809837356209755,3.992470010416582e-05,0.00119774101767689,1.571856228110846e-05,0.0006287425057962537,6.012298763380386e-05,0.003607379272580147,0.0,0.0,0.0001962382229976356,0.005887146573513746,0.008648756891489029,0.0015576891601085663,0.15087299421429634,0.011825986206531525,1.0142818689346313,1.7948584258556366
125,0.426971971988678,0.0014029651647433639,0.028059303760528564,0.0012981102336198092,0.2596220374107361,0.0003055593406315893,0.045833900570869446,5.750495984102599e-05,0.001150099211372435,0.0008764102822169662,0.013146154582500458,0.0006670389557257295,0.06670389324426651,3.7371559301391244e-05,0.0011211468372493982,1.549013177282177e-05,0.0006196053000167012,6.033031968399882e-05,0.0036198191810399294,0.0,0.0,0.000236534106079489,0.007096023298799992,0.008687138557434082,0.0016087442636489868,0.15648645162582397,0.011869817972183228,0.9812885820865631,1.7719252817332745
150,0.4177972376346588,0.0014777416363358498,0.029554832726716995,0.0012912427773699164,0.25824856758117676,0.00030532077653333545,0.04579811543226242,6.558090535691008e-05,0.001311618136242032,0.0008793092565611005,0.013189638964831829,0.0005591017543338239,0.055910173803567886,3.5425367968855426e-05,0.0010627610608935356,1.5446976249222644e-05,0.0006178790354169905,6.251582090044394e-05,0.003750949166715145,0.0,0.0,0.00027842255076393485,0.008352676406502724,0.008539333939552307,0.0016126520931720734,0.2438429854810238,0.011860545724630356,1.0036083534359932,1.8821419030427933
175,0.41103559732437134,0.0015365921426564455,0.030731841921806335,0.0012838399270549417,0.25676798820495605,0.0003095582069363445,0.04643373191356659,7.543866377091035e-05,0.0015087733045220375,0.000885413377545774,0.013281201012432575,0.0004732118686661124,0.04732118546962738,3.4404409234412014e-05,0.0010321323061361909,1.5415647794725373e-05,0.0006166258826851845,6.207777187228203e-05,0.0037246663123369217,0.0,0.0,0.0003205802640877664,0.00961740780621767,0.008580200374126434,0.001536976546049118,0.15072151273488998,0.011697370558977127,0.9812671318650246,1.7703413031995296
200,0.4062425494194031,0.00158169015776366,0.03163380175828934,0.0012785099679604173,0.2557019889354706,0.00031332738581113517,0.04699910804629326,8.94384429557249e-05,0.0017887689173221588,0.0008894309867173433,0.013341465033590794,0.00040452516986988485,0.040452517569065094,3.45342923537828e-05,0.0010360287269577384,1.5404497389681637e-05,0.0006161798955872655,6.403065344784409e-05,0.003841839265078306,0.0,0.0,0.0003610296407714486,0.010830889455974102,0.008751239627599716,0.0015728771686553955,0.15429361164569855,0.011861387640237808,1.0044124871492386,1.8098978698253632
225,0.4029339551925659,0.001619426067918539,0.03238852322101593,0.0012767183361575007,0.2553436756134033,0.0003139354521408677,0.0470903180539608,9.272272291127592e-05,0.0018544544000178576,0.0008945671143010259,0.01341850683093071,0.0003531727415975183,0.035317275673151016,3.4933826100314036e-05,0.0010480147320777178,1.54009903781116e-05,0.000616039615124464,6.435280374716967e-05,0.0038611681666225195,0.0,0.0,0.00039986701449379325,0.011996010318398476,0.008575387299060822,0.0015909597277641296,0.15053289756178856,0.011689912527799606,0.9878467060625553,1.7701021283864975
250,0.4000755846500397,0.0016466875094920397,0.03293374925851822,0.001278234296478331,0.25564685463905334,0.0003060752642340958,0.045911289751529694,9.873202361632138e-05,0.001974640414118767,0.0009017603006213903,0.013526404276490211,0.00031343885348178446,0.03134388476610184,3.4805558243533596e-05,0.0010441667400300503,1.5404086298076436e-05,0.0006161634810268879,6.611527351196855e-05,0.003966916352510452,0.0,0.0,0.0004370514943730086,0.013111544772982597,0.008509639650583267,0.0015600696206092834,0.15123046934604645,0.011702671647071838,1.0001985095441341,1.7862732447683811
275,0.3980375826358795,0.0016582586104050279,0.03316517174243927,0.001273798057809472,0.25475960969924927,0.00031118839979171753,0.04667825996875763,0.00010833965643541887,0.002166793216019869,0.0009163576178252697,0.013745363801717758,0.0002782396913971752,0.02782396972179413,3.521739199641161e-05,0.001056521781720221,1.5393534340546466e-05,0.0006157413590699434,6.58127391943708e-05,0.003948764409869909,0.0,0.0,0.0004692453076131642,0.01407735887914896,0.008467864245176315,0.0015424638986587524,0.1532333754003048,0.011714108288288116,0.9963925555348396,1.771894682198763
