frame_idx,tracking_weight,tracking_raw,tracking_scaled,object_cd2d_weight,object_cd2d_raw,object_cd2d_scaled,object_part_cd2d_weight,object_part_cd2d_raw,object_part_cd2d_scaled,object_smooth_trans_weight,object_smooth_trans_raw,object_smooth_trans_scaled,object_smooth_rot_weight,object_smooth_rot_raw,object_smooth_rot_scaled,object_intersect_weight,object_intersect_raw,object_intersect_scaled,intersect_weight,intersect_raw,intersect_scaled,nocontact_weight,nocontact_raw,nocontact_scaled,contact_drift_weight,contact_drift_raw,contact_drift_scaled,total_raw_local,total_scaled_local
0,20.0,0.0006581239285878837,0.013162478804588318,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0012111926916986704,0.024223852902650833,1000.0,0.0014766610693186522,1.4766610860824585,10000.0,0.0,0.0,0.003345977747812867,1.514047384262085
1,20.0,0.0006400163983926177,0.012800328433513641,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,7.185308277257718e-07,0.0007185308495536447,1000.0,1.4267283177105128e-07,0.00014267282676883042,0.0,0.0,0.0,20.0,0.001211182214319706,0.02422364428639412,1000.0,0.0014763944782316685,1.476394534111023,10000.0,4.1566948993931874e-07,0.004156694747507572,0.003328869817778468,1.5184364318847656
2,20.0,0.0006164856604300439,0.012329713441431522,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,2.3921159026940586e-06,0.002392116002738476,1000.0,5.158699991625326e-07,0.0005158699932508171,0.0,0.0,0.0,20.0,0.0011705763172358274,0.023411527276039124,1000.0,0.0014762807404622436,1.476280689239502,10000.0,1.110756215894071e-06,0.011107562109827995,0.0032673615496605635,1.5260374546051025
3,20.0,0.0005859069060534239,0.011718138121068478,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,2.857117124221986e-06,0.0028571172151714563,1000.0,1.4399649899132783e-06,0.0014399649808183312,0.0,0.0,0.0,20.0,0.0012579645263031125,0.025159290060400963,1000.0,0.0014760770136490464,1.4760769605636597,10000.0,1.7007757833198411e-06,0.01700775697827339,0.00332594639621675,1.5342592000961304
4,20.0,0.0005487952148541808,0.010975904762744904,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,2.2656722649117e-06,0.0022656721994280815,1000.0,2.0805184703931445e-06,0.0020805185195058584,0.0,0.0,0.0,20.0,0.001238931668922305,0.024778634309768677,1000.0,0.0014756337041035295,1.4756337404251099,10000.0,3.0313226488942746e-06,0.03031322732567787,0.003270738059654832,1.5460476875305176
5,20.0,0.0005086755263619125,0.010173510760068893,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,2.429657797620166e-06,0.0024296578485518694,1000.0,3.4852932913054246e-06,0.003485293360427022,0.0,0.0,0.0,20.0,0.0012392883654683828,0.02478576824069023,1000.0,0.0014745979569852352,1.4745979309082031,10000.0,4.792240360984579e-06,0.04792240262031555,0.003233269089832902,1.563394546508789
6,20.0,0.00046726895379833877,0.00934537872672081,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.275819840884651e-06,0.0012758198427036405,1000.0,4.6323248170665465e-06,0.0046323249116539955,0.0,0.0,0.0,20.0,0.0013181460089981556,0.026362920179963112,1000.0,0.0014745830558240414,1.4745830297470093,10000.0,7.158212611102499e-06,0.0715821236371994,0.0032730642706155777,1.587781548500061
7,20.0,0.00042724786908365786,0.008544957265257835,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,8.707347092240525e-07,0.0008707346860319376,1000.0,6.299962478806265e-06,0.006299962289631367,0.0,0.0,0.0,20.0,0.0013176798820495605,0.02635359764099121,1000.0,0.0014751366106793284,1.475136637687683,10000.0,8.79123035701923e-06,0.08791230618953705,0.003236026270315051,1.6051181554794312
8,20.0,0.00039728605770505965,0.007945721037685871,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,9.126626991928788e-07,0.0009126627119258046,1000.0,8.254821295849979e-06,0.0082548214122653,0.0,0.0,0.0,20.0,0.0013292296789586544,0.026584593579173088,1000.0,0.0014755951706320047,1.4755951166152954,10000.0,1.0074811143567786e-05,0.10074811428785324,0.003221353283151984,1.620041012763977
9,20.0,0.0003777867241296917,0.007555734366178513,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,7.08480058619898e-07,0.0007084800745360553,1000.0,8.733335562283173e-06,0.008733335882425308,0.0,0.0,0.0,20.0,0.0012826976599171758,0.025653952732682228,1000.0,0.0014764631632715464,1.4764631986618042,10000.0,1.0232725799141917e-05,0.10232725739479065,0.0031566221732646227,1.6214419603347778
